timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
3232000,0.0,0.0,0.40899074,0.0,0.9791636,0.0,0.0,0.20307307,0.0,0.0,-0.08,1,0,0,0,0,0
3332000,0.0,0.0,0.40900838,0.0,0.9791618,0.0,0.0,0.20308171,0.0,0.0,-0.08,1,0,0,0,0,0
3432000,0.0,0.0,0.40891457,0.0,0.97917134,0.0,0.0,0.20303577,0.0,0.0,-0.08,1,0,0,0,0,0
3532000,0.0,0.0,0.40886268,0.0,0.9791766,0.0,0.0,0.20301038,0.0,0.0,-0.08,1,0,0,0,0,0
3632000,0.0,0.0,0.40885007,0.0,0.9791779,0.0,0.0,0.2030042,0.0,0.0,-0.08,1,0,0,0,0,0
3732000,0.0,0.0,0.40914926,0.0,0.9791475,0.0,0.0,0.20315067,0.0,0.0,-0.08,1,0,0,0,0,0
3832000,0.0,0.0,0.40912983,0.0,0.97914946,0.0,0.0,0.20314117,0.0,0.0,-0.08,1,0,0,0,0,0
3932000,0.0,0.0,0.4088287,0.0,0.97918004,0.0,0.0,0.20299374,0.0,0.0,-0.08,1,0,0,0,0,0
4036000,0.0,0.0,0.40871483,0.0,0.9791916,0.0,0.0,0.20293799,0.0,0.0,-0.08,1,0,0,0,0,0
4140000,0.0,0.0,0.4083383,0.0,0.9792298,0.0,0.0,0.20275365,0.0,0.0,-0.08,1,0,0,0,0,0
4236000,0.0,0.0,0.40805152,0.0,0.97925884,0.0,0.0,0.20261322,0.0,0.0,-0.08,1,0,0,0,0,0
4336000,0.0,0.0,0.40799662,0.0,0.9792644,0.0,0.0,0.20258634,0.0,0.0,-0.08,1,0,0,0,0,0
4432000,0.0,0.0,0.4083753,0.0,0.97922605,0.0,0.0,0.20277175,0.0,0.0,-0.08,1,0,0,0,0,0
4536000,0.0,0.0,0.40842286,0.0,0.9792212,0.0,0.0,0.20279504,0.0,0.0,-0.08,1,0,0,0,0,0
4636000,0.0,0.0,0.40835068,0.0,0.9792285,0.0,0.0,0.2027597,0.0,0.0,-0.08,1,0,0,0,0,0
4736000,0.0,0.0,0.40846798,0.0,0.97921664,0.0,0.0,0.20281713,0.0,0.0,-0.08,1,0,0,0,0,0
4832000,0.0,0.0,0.40853083,0.0,0.97921026,0.0,0.0,0.2028479,0.0,0.0,-0.08,1,0,0,0,0,0
4936000,0.0,0.0,0.40861872,0.0,0.9792013,0.0,0.0,0.20289093,0.0,0.0,-0.08,1,0,0,0,0,0
5032000,0.0,0.0,0.4087631,0.0,0.9791867,0.0,0.0,0.20296162,0.0,0.0,-0.08,1,0,0,0,0,0
5136000,0.0,0.0,0.4090872,0.0,0.9791538,0.0,0.0,0.2031203,0.0,0.0,-0.08,1,0,0,0,0,0
5236000,0.0,0.0,0.40944418,0.0,0.9791175,0.0,0.0,0.20329507,0.0,0.0,-0.08,1,0,0,0,0,0
5336000,0.0,0.0,0.40958738,0.0,0.97910297,0.0,0.0,0.20336516,0.0,0.0,-0.08,1,0,0,0,0,0
5440000,0.0,0.0,0.40960023,0.0,0.97910166,0.0,0.0,0.20337145,0.0,0.0,-0.08,1,0,0,0,0,0
5540000,0.0,0.0,0.4096691,0.0,0.9790946,0.0,0.0,0.20340517,0.0,0.0,-0.08,1,0,0,0,0,0
5636000,0.0,0.0,0.40984145,0.0,0.9790771,0.0,0.0,0.20348954,0.0,0.0,-0.08,1,0,0,0,0,0
5736000,0.0,0.0,0.4099682,0.0,0.9790642,0.0,0.0,0.20355159,0.0,0.0,-0.08,1,0,0,0,0,0
5836000,0.0,0.0,0.41024575,0.0,0.979036,0.0,0.0,0.20368746,0.0,0.0,-0.08,1,0,0,0,0,0
5940000,0.0,0.0,0.41020703,0.0,0.9790399,0.0,0.0,0.2036685,0.0,0.0,-0.08,1,0,0,0,0,0
6040000,0.0,0.0,0.41002843,0.0,0.9790581,0.0,0.0,0.20358108,0.0,0.0,-0.08,1,0,0,0,0,0
6140000,0.0,0.0,0.41022298,0.0,0.9790383,0.0,0.0,0.20367631,0.0,0.0,-0.08,1,0,0,0,0,0
6236000,0.0,0.0,0.41020992,0.0,0.9790396,0.0,0.0,0.20366992,0.0,0.0,-0.08,1,0,0,0,0,0
6336000,0.0,0.0,0.41014448,0.0,0.9790463,0.0,0.0,0.20363788,0.0,0.0,-0.08,1,0,0,0,0,0
6432000,0.0,0.0,0.41038916,0.0,0.9790214,0.0,0.0,0.20375766,0.0,0.0,-0.08,1,0,0,0,0,0
6536000,0.0,0.0,0.41042653,0.0,0.97901756,0.0,0.0,0.20377596,0.0,0.0,-0.08,1,0,0,0,0,0
6640000,0.0,0.0,0.4104457,0.0,0.9790156,0.0,0.0,0.20378533,0.0,0.0,-0.08,1,0,0,0,0,0
6736000,0.0,0.0,0.41062972,0.0,0.9789968,0.0,0.0,0.20387542,0.0,0.0,-0.08,1,0,0,0,0,0
6832000,0.0,0.0,0.41065842,0.0,0.9789939,0.0,0.0,0.20388946,0.0,0.0,-0.08,1,0,0,0,0,0
6932000,0.0,0.0,0.41047254,0.0,0.97901285,0.0,0.0,0.20379847,0.0,0.0,-0.08,1,0,0,0,0,0
