timestamp,alt_max,landed,freefall,ground_contact,maybe_landed,in_ground_effect
1088000,inf,1,0,0,0,0
2088000,inf,1,0,0,0,0
3104000,inf,1,0,0,0,0
4124000,inf,1,0,0,0,0
5132000,inf,1,0,0,0,0
6132000,inf,1,0,0,0,0
7132000,inf,1,0,0,0,0
8140000,inf,1,0,0,0,0
9140000,inf,1,0,0,0,0
10140000,inf,1,0,0,0,0
11140000,inf,1,0,0,0,0
12140000,inf,1,0,0,0,0
13152000,inf,1,0,0,0,0
14168000,inf,1,0,0,0,0
15168000,inf,1,0,0,0,0
16168000,inf,1,0,0,0,0
17180000,inf,1,0,0,0,0
18180000,inf,1,0,0,0,0
19180000,inf,1,0,0,0,0
20184000,inf,1,0,0,0,0
21184000,inf,1,0,0,0,0
22184000,inf,1,0,0,0,0
23184000,inf,1,0,0,0,0
24184000,inf,1,0,0,0,0
25184000,inf,1,0,0,0,0
26184000,inf,1,0,0,0,0
27184000,inf,1,0,0,0,0
28184000,inf,1,0,0,0,0
29184000,inf,1,0,0,0,0
30184000,inf,1,0,0,0,0
31184000,inf,1,0,0,0,0
32196000,inf,1,0,0,0,0
33196000,inf,1,0,0,0,0
34200000,inf,1,0,0,0,0
35200000,inf,1,0,0,0,0
36220000,inf,1,0,0,0,0
37236000,inf,1,0,0,0,0
38236000,inf,1,0,0,0,0
39236000,inf,1,0,0,0,0
40252000,inf,1,0,0,0,0
41268000,inf,1,0,0,0,0
42268000,inf,1,0,0,0,0
43268000,inf,1,0,0,0,0
44268000,inf,1,0,0,0,0
45268000,inf,1,0,0,0,0
46268000,inf,1,0,0,0,0
47268000,inf,1,0,0,0,0
48268000,inf,1,0,0,0,0
49268000,inf,1,0,0,0,0
50268000,inf,1,0,0,0,0
51268000,inf,1,0,0,0,0
52268000,inf,1,0,0,0,0
53268000,inf,1,0,0,0,0
54268000,inf,1,0,0,0,0
55268000,inf,1,0,0,0,0
56268000,inf,1,0,0,0,0
57268000,inf,1,0,0,0,0
58268000,inf,1,0,0,0,0
59268000,inf,1,0,0,0,0
60268000,inf,1,0,0,0,0
61268000,inf,1,0,0,0,0
62268000,inf,1,0,0,0,0
63268000,inf,1,0,0,0,0
64276000,inf,1,0,0,0,0
65284000,inf,1,0,0,0,0
66284000,inf,1,0,0,0,0
67296000,inf,1,0,0,0,0
68296000,inf,1,0,0,0,0
69312000,inf,1,0,0,0,0
70312000,inf,1,0,0,0,0
71312000,inf,1,0,0,0,0
72328000,inf,1,0,0,0,0
73328000,inf,1,0,0,0,0
74328000,inf,1,0,0,0,0
75344000,inf,1,0,0,0,0
76344000,inf,1,0,0,0,0
77344000,inf,1,0,0,0,0
78360000,inf,1,0,0,0,0
79360000,inf,1,0,0,0,0
80360000,inf,1,0,0,0,0
81376000,inf,1,0,0,0,0
82376000,inf,1,0,0,0,0
83376000,inf,1,0,0,0,0
84392000,inf,1,0,0,0,0
85392000,inf,1,0,0,0,0
86392000,inf,1,0,0,0,0
87408000,inf,1,0,0,0,0
88408000,inf,1,0,0,0,0
89408000,inf,1,0,0,0,0
90424000,inf,1,0,0,0,0
91424000,inf,1,0,0,0,0
92424000,inf,1,0,0,0,0
93440000,inf,1,0,0,0,0
94440000,inf,1,0,0,0,0
95440000,inf,1,0,0,0,0
96456000,inf,1,0,0,0,0
97456000,inf,1,0,0,0,0
98456000,inf,1,0,0,0,0
99472000,inf,1,0,0,0,0
100472000,inf,1,0,0,0,0
101472000,inf,1,0,0,0,0
102488000,inf,1,0,0,0,0
103488000,inf,1,0,0,0,0
104488000,inf,1,0,0,0,0
105504000,inf,1,0,0,0,0
106508000,inf,1,0,0,0,0
107508000,inf,1,0,0,0,0
108508000,inf,1,0,0,0,0
109508000,inf,1,0,0,0,0
110508000,inf,1,0,0,0,0
111508000,inf,1,0,0,0,0
112508000,inf,1,0,0,0,0
113508000,inf,1,0,0,0,0
114508000,inf,1,0,0,0,0
115508000,inf,1,0,0,0,0
116508000,inf,1,0,0,0,0
117508000,inf,1,0,0,0,0
118508000,inf,1,0,0,0,0
119508000,inf,1,0,0,0,0
120508000,inf,1,0,0,0,0
121508000,inf,1,0,0,0,0
122508000,inf,1,0,0,0,0
123508000,inf,1,0,0,0,0
124508000,inf,1,0,0,0,0
125508000,inf,1,0,0,0,0
126508000,inf,1,0,0,0,0
127508000,inf,1,0,0,0,0
128516000,inf,1,0,0,0,0
129516000,inf,1,0,0,0,0
130516000,inf,1,0,0,0,0
131516000,inf,1,0,0,0,0
132516000,inf,1,0,0,0,0
133516000,inf,1,0,0,0,0
134532000,inf,1,0,0,0,0
135532000,inf,1,0,0,0,0
136532000,inf,1,0,0,0,0
137548000,inf,1,0,0,0,0
138548000,inf,1,0,0,0,0
139548000,inf,1,0,0,0,0
140564000,inf,1,0,0,0,0
141564000,inf,1,0,0,0,0
142564000,inf,1,0,0,0,0
143580000,inf,1,0,0,0,0
144580000,inf,1,0,0,0,0
145580000,inf,1,0,0,0,0
146596000,inf,1,0,0,0,0
147596000,inf,1,0,0,0,0
148596000,inf,1,0,0,0,0
149612000,inf,1,0,0,0,0
150612000,inf,1,0,0,0,0
151612000,inf,1,0,0,0,0
152628000,inf,1,0,0,0,0
153628000,inf,1,0,0,0,0
154628000,inf,1,0,0,0,0
155644000,inf,1,0,0,0,0
156644000,inf,1,0,0,0,0
157644000,inf,1,0,0,0,0
158660000,inf,1,0,0,0,0
159660000,inf,1,0,0,0,0
160660000,inf,1,0,0,0,0
161676000,inf,1,0,0,0,0
162676000,inf,1,0,0,0,0
163676000,inf,1,0,0,0,0
164692000,inf,1,0,0,0,0
165692000,inf,1,0,0,0,0
166692000,inf,1,0,0,0,0
167708000,inf,1,0,0,0,0
168708000,inf,1,0,0,0,0
169708000,inf,1,0,0,0,0
170724000,inf,1,0,0,0,0
171724000,inf,1,0,0,0,0
172724000,inf,1,0,0,0,0
173740000,inf,1,0,0,0,0
174740000,inf,1,0,0,0,0
175740000,inf,1,0,0,0,0
176756000,inf,1,0,0,0,0
177756000,inf,1,0,0,0,0
178756000,inf,1,0,0,0,0
179772000,inf,1,0,0,0,0
180772000,inf,1,0,0,0,0
181772000,inf,1,0,0,0,0
182788000,inf,1,0,0,0,0
183788000,inf,1,0,0,0,0
184788000,inf,1,0,0,0,0
185804000,inf,1,0,0,0,0
186804000,inf,1,0,0,0,0
187804000,inf,1,0,0,0,0
188820000,inf,1,0,0,0,0
189820000,inf,1,0,0,0,0
190820000,inf,1,0,0,0,0
191836000,inf,1,0,0,0,0
192836000,inf,1,0,0,0,0
193836000,inf,1,0,0,0,0
194852000,inf,1,0,0,0,0
195852000,inf,1,0,0,0,0
196852000,inf,1,0,0,0,0
197868000,inf,1,0,0,0,0
198868000,inf,1,0,0,0,0
199868000,inf,1,0,0,0,0
200884000,inf,1,0,0,0,0
201884000,inf,1,0,0,0,0
202884000,inf,1,0,0,0,0
203900000,inf,1,0,0,0,0
204900000,inf,1,0,0,0,0
205900000,inf,1,0,0,0,0
206916000,inf,1,0,0,0,0
207916000,inf,1,0,0,0,0
208916000,inf,1,0,0,0,0
209932000,inf,1,0,0,0,0
210932000,inf,1,0,0,0,0
211932000,inf,1,0,0,0,0
212948000,inf,1,0,0,0,0
213948000,inf,1,0,0,0,0
214948000,inf,1,0,0,0,0
215964000,inf,1,0,0,0,0
216964000,inf,1,0,0,0,0
217964000,inf,1,0,0,0,0
218980000,inf,1,0,0,0,0
219980000,inf,1,0,0,0,0
220980000,inf,1,0,0,0,0
221996000,inf,1,0,0,0,0
222996000,inf,1,0,0,0,0
223996000,inf,1,0,0,0,0
225012000,inf,1,0,0,0,0
226012000,inf,1,0,0,0,0
227012000,inf,1,0,0,0,0
228028000,inf,1,0,0,0,0
229028000,inf,1,0,0,0,0
230028000,inf,1,0,0,0,0
231044000,inf,1,0,0,0,0
232044000,inf,1,0,0,0,0
233044000,inf,1,0,0,0,0
234060000,inf,1,0,0,0,0
235060000,inf,1,0,0,0,0
236060000,inf,1,0,0,0,0
237076000,inf,1,0,0,0,0
238076000,inf,1,0,0,0,0
239076000,inf,1,0,0,0,0
240092000,inf,1,0,0,0,0
241092000,inf,1,0,0,0,0
242092000,inf,1,0,0,0,0
243092000,inf,1,0,0,0,0
244092000,inf,1,0,0,0,0
245092000,inf,1,0,0,0,0
246092000,inf,1,0,0,0,0
247092000,inf,1,0,0,0,0
248092000,inf,1,0,0,0,0
249092000,inf,1,0,0,0,0
250092000,inf,1,0,0,0,0
251092000,inf,1,0,0,0,0
252100000,inf,1,0,0,0,0
252300000,inf,0,0,0,0,0
253300000,inf,0,0,0,0,0
254300000,inf,0,0,0,0,0
255300000,inf,0,0,0,0,0
256304000,inf,0,0,0,0,0
257304000,inf,0,0,0,0,0
258304000,inf,0,0,0,0,0
259304000,inf,0,0,0,0,0
260304000,inf,0,0,0,0,0
261304000,inf,0,0,0,0,0
262304000,inf,0,0,0,0,0
263304000,inf,0,0,0,0,0
264304000,inf,0,0,0,0,0
265304000,inf,0,0,0,0,0
266304000,inf,0,0,0,0,0
267304000,inf,0,0,0,0,0
268304000,inf,0,0,0,0,0
269320000,inf,0,0,0,0,0
270336000,inf,0,0,0,0,0
271336000,inf,0,0,0,0,0
272336000,inf,0,0,0,0,0
273352000,inf,0,0,0,0,0
274352000,inf,0,0,0,0,0
275352000,inf,0,0,0,0,0
276368000,inf,0,0,0,0,0
277368000,inf,0,0,0,0,0
278368000,inf,0,0,0,0,0
279384000,inf,0,0,0,0,0
280384000,inf,0,0,0,0,0
281384000,inf,0,0,0,0,0
282400000,inf,0,0,0,0,0
283416000,inf,0,0,0,0,0
284416000,inf,0,0,0,0,0
285416000,inf,0,0,0,0,0
286416000,inf,0,0,0,0,0
287416000,inf,0,0,0,0,0
288416000,inf,0,0,0,0,0
289420000,inf,0,0,0,0,0
290420000,inf,0,0,0,0,0
291420000,inf,0,0,0,0,0
292420000,inf,0,0,0,0,0
