timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
1944000,2.0333953e-06,-2.1803894e-06,9.438697e-12,0.9768958,6.336717e-07,-1.1552496e-06,0.21373738,0.0,0.0,0.0,0.0,0
1956000,2.0333953e-06,-2.1803892e-06,9.428785e-12,0.9768958,6.373001e-07,-1.1637767e-06,0.21373738,0.0,0.0,0.0,0.0,0
1968000,2.0333953e-06,-2.1803892e-06,9.418873e-12,0.9768958,6.409087e-07,-1.1723081e-06,0.21373738,0.0,0.0,0.0,0.0,0
1980000,2.0333953e-06,-2.1803892e-06,9.4089615e-12,0.9768958,6.444986e-07,-1.1808436e-06,0.21373738,0.0,0.0,0.0,0.0,0
1992000,2.0333953e-06,-2.1803892e-06,9.399049e-12,0.9768958,6.4807114e-07,-1.1893829e-06,0.21373738,0.0,0.0,0.0,0.0,0
2004000,2.0333953e-06,-2.1803892e-06,9.389137e-12,0.9768958,6.516274e-07,-1.1979258e-06,0.21373738,0.0,0.0,0.0,0.0,0
2016000,2.0333953e-06,-2.1803892e-06,9.379225e-12,0.9768958,6.551685e-07,-1.206472e-06,0.21373738,0.0,0.0,0.0,0.0,0
2028000,2.0333953e-06,-2.1803892e-06,9.369313e-12,0.9768958,6.586955e-07,-1.2150213e-06,0.21373738,0.0,0.0,0.0,0.0,0
2040000,2.0333953e-06,-2.1803892e-06,9.3594e-12,0.9768958,6.622094e-07,-1.2235733e-06,0.21373738,0.0,0.0,0.0,0.0,0
2052000,2.0333953e-06,-2.1803892e-06,9.349488e-12,0.9768958,6.6571107e-07,-1.2321282e-06,0.21373738,0.0,0.0,0.0,0.0,0
2064000,2.0333953e-06,-2.1803892e-06,9.339576e-12,0.9768958,6.39604e-07,-1.2471612e-06,0.21373738,0.0,0.0,0.0,0.0,0
2076000,2.0333953e-06,-2.1803892e-06,9.329664e-12,0.9768958,6.437201e-07,-1.2555815e-06,0.21373738,0.0,0.0,0.0,0.0,0
2088000,2.0333953e-06,-2.1803892e-06,9.319752e-12,0.9768958,6.4779346e-07,-1.2640113e-06,0.21373738,0.0,0.0,0.0,0.0,0
2100000,2.0333953e-06,-2.1803892e-06,9.30984e-12,0.9768958,6.5182525e-07,-1.27245e-06,0.21373738,0.0,0.0,0.0,0.0,0
