timestamp,heartbeat_time,data_rate,rate_multiplier,rate_rx,rate_tx,rate_txerr,remote_system_id,remote_component_id,remote_type,remote_system_status,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams
1096000,0,4000000.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,36
1172000,0,4000000.0,1.0,0.0,0.0,0.0,0,0,0,0,0,2,0,0,1,1,43
1924000,1920000,4000000.0,1.0,0.0,0.0,0.0,255,0,6,4,0,0,0,0,1,1,37
2172000,0,4000000.0,1.0,0.0,0.0,0.0,0,0,0,0,0,2,0,0,1,1,43
2204000,2200000,4000000.0,1.0,0.020916333,0.5956175,0.0,255,0,6,4,0,0,0,0,1,1,37
2920000,2916000,4000000.0,1.0,0.020916333,0.5956175,0.0,255,0,6,4,0,0,0,0,1,1,37
3172000,0,4000000.0,1.0,0.0,7.5657363,0.0,0,0,0,0,0,2,0,0,1,1,43
3920000,3916000,4000000.0,1.0,0.30278882,12.1733055,0.0,255,0,6,4,0,0,0,0,1,1,37
4172000,0,4000000.0,1.0,0.0,20.438246,0.0,0,0,0,0,0,2,0,0,1,1,43
4920000,4916000,4000000.0,1.0,0.020916333,10.979083,0.0,255,0,6,4,0,0,0,0,1,1,37
5172000,0,4000000.0,1.0,0.0,23.289864,0.0,0,0,0,0,0,2,0,0,1,1,43
5916000,5912000,4000000.0,1.0,0.020916333,11.17729,0.0,255,0,6,4,0,0,0,0,1,1,37
6172000,0,4000000.0,1.0,0.0,23.336973,0.0,0,0,0,0,0,2,0,0,1,1,43
6912000,6908000,4000000.0,1.0,0.020916333,11.006971,0.0,255,0,6,4,0,0,0,0,1,1,37
7172000,0,4000000.0,1.0,0.0,23.447208,0.0,0,0,0,0,0,2,0,0,1,1,43
7912000,7912000,4000000.0,1.0,0.020916333,11.181273,0.0,255,0,6,4,0,0,0,0,1,1,37
8172000,0,4000000.0,1.0,0.0,23.39442,0.0,0,0,0,0,0,2,0,0,1,1,43
8912000,8908000,4000000.0,1.0,0.020916333,11.062748,0.0,255,0,6,4,0,0,0,0,1,1,37
9172000,0,4000000.0,1.0,0.0,23.299824,0.0,0,0,0,0,0,2,0,0,1,1,43
9912000,9908000,4000000.0,1.0,0.020916333,11.137449,0.0,255,0,6,4,0,0,0,0,1,1,37
10172000,0,4000000.0,1.0,0.0,23.392973,0.0,0,0,0,0,0,2,0,0,1,1,43
10908000,10904000,4000000.0,1.0,0.020916333,11.018924,0.0,255,0,6,4,0,0,0,0,1,1,37
11172000,0,4000000.0,1.0,0.0,23.383465,0.0,0,0,0,0,0,2,0,0,1,1,43
11908000,11908000,4000000.0,1.0,0.046812747,11.180278,0.0,255,0,6,4,0,0,0,0,1,1,37
12172000,0,4000000.0,1.0,0.0,23.48705,0.0,0,0,0,0,0,2,0,0,1,1,43
12908000,12904000,4000000.0,1.0,0.020916333,12.696214,0.0,255,0,6,4,0,0,0,0,1,1,37
13172000,0,4000000.0,1.0,0.0,25.108564,0.0,0,0,0,0,0,2,0,0,1,1,43
13904000,13904000,4000000.0,1.0,0.020916333,11.302788,0.0,255,0,6,4,0,0,0,0,1,1,37
14172000,0,4000000.0,1.0,0.0,25.480078,0.0,0,0,0,0,0,2,0,0,1,1,43
14904000,14900000,4000000.0,1.0,0.020916333,10.8426285,0.0,255,0,6,4,0,0,0,0,1,1,37
15172000,0,4000000.0,1.0,0.0,25.548803,0.0,0,0,0,0,0,2,0,0,1,1,43
15904000,15900000,4000000.0,1.0,0.020916333,11.171314,0.0,255,0,6,4,0,0,0,0,1,1,37
16176000,0,4000000.0,1.0,0.0,25.565735,0.0,0,0,0,0,0,2,0,0,1,1,43
16900000,16900000,4000000.0,1.0,0.020916333,10.910357,0.0,255,0,6,4,0,0,0,0,1,1,37
17176000,0,4000000.0,1.0,0.0,25.588644,0.0,0,0,0,0,0,2,0,0,1,1,43
17900000,17896000,4000000.0,1.0,0.020916333,11.131474,0.0,255,0,6,4,0,0,0,0,1,1,37
18176000,0,4000000.0,1.0,0.0,25.58964,0.0,0,0,0,0,0,2,0,0,1,1,43
18900000,18896000,4000000.0,1.0,0.020916333,10.993027,0.0,255,0,6,4,0,0,0,0,1,1,37
19176000,0,4000000.0,1.0,0.0,25.657368,0.0,0,0,0,0,0,2,0,0,1,1,43
19900000,19896000,4000000.0,1.0,0.020916333,11.06474,0.0,255,0,6,4,0,0,0,0,1,1,37
20176000,0,4000000.0,1.0,0.0,25.509958,0.0,0,0,0,0,0,2,0,0,1,1,43
20896000,20892000,4000000.0,1.0,0.020916333,10.949203,0.0,255,0,6,4,0,0,0,0,1,1,37
21176000,0,4000000.0,1.0,0.0,25.873505,0.0,0,0,0,0,0,2,0,0,1,1,43
21896000,21892000,4000000.0,1.0,0.046812747,11.153385,0.0,255,0,6,4,0,0,0,0,1,1,37
22176000,0,4000000.0,1.0,0.0,25.427288,0.0,0,0,0,0,0,2,0,0,1,1,43
22896000,22892000,4000000.0,1.0,0.020916333,10.909362,0.0,255,0,6,4,0,0,0,0,1,1,37
23176000,0,4000000.0,1.0,0.0,25.656372,0.0,0,0,0,0,0,2,0,0,1,1,43
