timestamp,saturation_status
657300000,1533
657304000,1533
657308000,1533
657312000,1533
657316000,1
657320000,1
657324000,1
657332000,1
657336000,1
657344000,1
657348000,1
657352000,1
657356000,1
657360000,1
657368000,1
657372000,1
657376000,1
657380000,1
657384000,1
657388000,1
657392000,1
657396000,1
657404000,1
657408000,1
657412000,1
657416000,1
657420000,1
657428000,1
657432000,1
657440000,1
657444000,1
657452000,1
657456000,1
657460000,1
657464000,1
657472000,1
657476000,1
657480000,1
657484000,1
657492000,1
657496000,1
657500000,1
657504000,1
657512000,1
657516000,1
657520000,1
657528000,1
657536000,1
657544000,1
657552000,1
657556000,1
657560000,1
657568000,1
657572000,1
657580000,1
657584000,1
657588000,1
657592000,1
657600000,1
657604000,1
657608000,1
657612000,1
657616000,1
657624000,1
657628000,1
657632000,1
657636000,1
657640000,1
657644000,1
657648000,1
657652000,1
657656000,1
657660000,1
657664000,1
657668000,1
657672000,1
657676000,1
657680000,1
657684000,1
657688000,1
657696000,1
657700000,1
657704000,1
657708000,1
657716000,1
657720000,1
657724000,1
657732000,1
657736000,1
657740000,1
657744000,1
657752000,1
657756000,1
657760000,1
657764000,1
657768000,1
657772000,1
657776000,1
657780000,1
657784000,1
657788000,1
657792000,1
657796000,1
657804000,1
657808000,1
657812000,1
657816000,1
657820000,1
657824000,1
657828000,1
657836000,1
657840000,1
657844000,1
657852000,1
657856000,1
657864000,1
657868000,1
657876000,1
657884000,1
657888000,1
657892000,1
657896000,1
657900000,1
657904000,1
657908000,1
657916000,1
657920000,1
657924000,1
657928000,1
657932000,1
657940000,1
657944000,1
657948000,1
657952000,1
657956000,1
657960000,1
657964000,1
657972000,1
657976000,1
657980000,1
657984000,1
657992000,1
657996000,1
658000000,1
658004000,1
658012000,1
658016000,1
658024000,1
658028000,1
658032000,1
658040000,1
658044000,1
658052000,1
658056000,1
658060000,1
658064000,1
658072000,1
658076000,1
658080000,1
658084000,1
658088000,1
658096000,1
658100000,1
658104000,1
658108000,1
658112000,1
658116000,1
658120000,1
658124000,1
658128000,1
658132000,1
658140000,1
658144000,1
658148000,1
658156000,1
658160000,1
658164000,1
658168000,1
658172000,1
658176000,1
658180000,1
658188000,1
658192000,1
658196000,1
658200000,1
658204000,1
658208000,1
658216000,1
658220000,1
658228000,1
658232000,1
658236000,1
658240000,1
658248000,1
658252000,1
658256000,1
658260000,1
658264000,1
658268000,1
658272000,1
658276000,1
658280000,1
