timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
657300000,2.3510338e-06,-1.721697e-06,9.346873e-10,-0.97896755,-0.00061447936,-5.7681675e-05,-0.20403728,0.0,0.0,0.0,0.0,0
657312000,2.3510343e-06,-1.7216951e-06,9.346909e-10,-0.97896755,-0.00061449,-5.767334e-05,-0.20403728,0.0,0.0,0.0,0.0,0
657324000,2.3425832e-06,-1.738971e-06,9.462792e-10,-0.97896755,-0.0006145204,-5.767094e-05,-0.20403728,0.0,0.0,0.0,0.0,0
657336000,1.9766678e-06,-6.470543e-07,2.738084e-10,-0.97896755,-0.00061452866,-5.762403e-05,-0.20403728,0.0,0.0,0.0,0.0,0
657348000,1.8597483e-06,1.0242015e-07,-1.9813379e-10,-0.97896755,-0.0006145665,-5.7534002e-05,-0.20403728,0.0,0.0,0.0,0.0,0
657360000,1.4279498e-06,1.449929e-06,-1.027827e-09,-0.97896755,-0.000614573,-5.746155e-05,-0.20403726,0.0,0.0,0.0,0.0,0
657372000,8.9863613e-07,9.623969e-07,-6.787391e-10,-0.97896755,-0.0006146183,-5.7416684e-05,-0.20403726,0.0,0.0,0.0,0.0,0
657384000,8.044594e-07,2.6643104e-07,-2.2791558e-10,-0.97896755,-0.00061457645,-5.7378995e-05,-0.20403726,0.0,0.0,0.0,0.0,0
657396000,7.427951e-07,4.821383e-07,-3.6108053e-10,-0.97896755,-0.00061462115,-5.738235e-05,-0.20403726,0.0,0.0,0.0,0.0,0
657404000,1.007707e-06,8.969281e-07,-6.452747e-10,-0.97896755,-0.000614625,-5.7380817e-05,-0.20403726,0.0,0.0,0.0,0.0,0
657420000,7.993185e-07,9.279993e-07,-6.499031e-10,-0.97896755,-0.00061463,-5.7374942e-05,-0.20403726,0.0,0.0,0.0,0.0,0
657432000,7.795931e-07,8.15276e-07,-5.766254e-10,-0.97896755,-0.0006146784,-5.7386347e-05,-0.20403726,0.0,0.0,0.0,0.0,0
657444000,5.3853944e-07,4.969575e-07,-3.5603737e-10,-0.97896755,-0.0006146181,-5.7386198e-05,-0.20403726,0.0,0.0,0.0,0.0,0
657456000,4.514481e-07,4.8776224e-07,-3.439563e-10,-0.97896755,-0.00061466655,-5.7392994e-05,-0.20403726,0.0,0.0,0.0,0.0,0
657468000,3.917278e-07,7.678783e-07,-5.187092e-10,-0.97896755,-0.0006146098,-5.7376863e-05,-0.20403726,0.0,0.0,0.0,0.0,0
657480000,3.3923703e-07,6.423018e-07,-4.348356e-10,-0.97896755,-0.00061465555,-5.738227e-05,-0.20403726,0.0,0.0,0.0,0.0,0
657492000,3.8543953e-07,5.5675156e-07,-3.834487e-10,-0.97896755,-0.0006146995,-5.739508e-05,-0.20403726,0.0,0.0,0.0,0.0,0
