timestamp,param5,param6,param1,param2,param3,param4,param7,command,target_system,target_component,source_system,source_component,confirmation,from_external
656572000,nan,nan,0.0,2.0,nan,nan,nan,530,1,1,1,1,0,0
656572000,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,2003,1,1,1,1,0,0
657288000,0.0,0.0,1.0,0.0,0.0,0.0,0.0,400,1,1,255,0,0,1
680484000,0.0,0.0,4.658557,0.0,1.0,0.0,0.0,206,1,1,1,1,0,0
688884000,0.0,0.0,4.658557,0.0,1.0,0.0,0.0,206,1,1,1,1,0,0
715204000,0.0,0.0,4.658557,0.0,1.0,0.0,0.0,206,1,1,1,1,0,0
745388000,0.0,0.0,4.658557,0.0,1.0,0.0,0.0,206,1,1,1,1,0,0
781448000,0.0,0.0,4.658557,0.0,1.0,0.0,0.0,206,1,1,1,1,0,0
818968000,0.0,0.0,4.658557,0.0,1.0,0.0,0.0,206,1,1,1,1,0,0
857272000,0.0,0.0,4.658557,0.0,1.0,0.0,0.0,206,1,1,1,1,0,0
893952000,0.0,0.0,4.658557,0.0,1.0,0.0,0.0,206,1,1,1,1,0,0
931920000,0.0,0.0,4.658557,0.0,1.0,0.0,0.0,206,1,1,1,1,0,0
969496000,0.0,0.0,4.658557,0.0,1.0,0.0,0.0,206,1,1,1,1,0,0
1006848000,0.0,0.0,4.658557,0.0,1.0,0.0,0.0,206,1,1,1,1,0,0
1044152000,nan,nan,nan,nan,nan,nan,nan,21,1,1,0,0,0,0
1044200000,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,2003,1,1,1,1,0,0
