timestamp,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho
657292000,487.37054,32.0,95606.4,1.1359621
657304000,487.6427,32.0,95603.28,1.1359252
657312000,487.7167,32.0,95602.45,1.1359153
657324000,487.70084,32.0,95602.61,1.1359172
657332000,487.685,32.0,95602.805,1.1359195
657344000,487.57928,32.0,95604.016,1.1359339
657352000,487.7035,32.0,95602.58,1.1359168
657364000,487.57928,32.0,95604.016,1.1359339
657372000,487.47888,32.0,95605.15,1.1359473
657384000,487.5238,32.0,95604.64,1.1359413
657392000,487.50003,32.0,95604.92,1.1359446
657404000,487.53436,32.0,95604.53,1.13594
657412000,487.69028,32.0,95602.74,1.1359187
657424000,487.51324,32.0,95604.76,1.1359427
657432000,487.52646,32.0,95604.6,1.1359408
657444000,487.44717,32.0,95605.52,1.1359518
657452000,487.6665,32.0,95603.0,1.1359218
657464000,487.72464,32.0,95602.36,1.1359142
657472000,487.71143,32.0,95602.49,1.1359158
657484000,487.62158,32.0,95603.516,1.1359279
657492000,487.61893,32.0,95603.57,1.1359285
657504000,487.64008,32.0,95603.305,1.1359254
657512000,487.67706,32.0,95602.875,1.1359203
657524000,487.62952,32.0,95603.44,1.135927
657532000,487.70084,32.0,95602.6,1.1359171
657544000,487.59778,32.0,95603.805,1.1359314
657552000,487.70084,32.0,95602.61,1.1359172
657564000,487.44983,32.0,95605.51,1.1359516
657572000,487.6427,32.0,95603.27,1.135925
657584000,487.65857,32.0,95603.125,1.1359233
657592000,487.71143,32.0,95602.5,1.1359159
657604000,487.64536,32.0,95603.24,1.1359247
657612000,487.68762,32.0,95602.77,1.1359191
657624000,487.5555,32.0,95604.28,1.135937
657632000,487.611,32.0,95603.664,1.1359297
657644000,487.37848,32.0,95606.31,1.1359612
657652000,487.53436,32.0,95604.52,1.1359398
657664000,487.6242,32.0,95603.5,1.1359277
657672000,487.71405,32.0,95602.47,1.1359155
657684000,487.48682,32.0,95605.06,1.1359463
657692000,487.6665,32.0,95603.0,1.1359218
657704000,487.66122,32.0,95603.086,1.1359228
657712000,487.69028,32.0,95602.75,1.1359189
657724000,487.63214,32.0,95603.42,1.1359268
657732000,487.64536,32.0,95603.24,1.1359247
657744000,487.51852,32.0,95604.7,1.135942
657752000,487.6665,32.0,95603.02,1.1359221
657764000,487.78275,32.0,95601.69,1.1359062
657772000,487.79333,32.0,95601.55,1.1359046
657784000,487.62952,32.0,95603.43,1.1359268
657792000,487.67178,32.0,95602.94,1.135921
657804000,487.78806,32.0,95601.62,1.1359054
657812000,487.5555,32.0,95604.27,1.135937
657824000,487.56345,32.0,95604.2,1.1359361
657832000,487.48682,32.0,95605.08,1.1359465
657844000,487.67178,32.0,95602.94,1.135921
657852000,487.67706,32.0,95602.89,1.1359205
657864000,487.8224,32.0,95601.234,1.1359009
657872000,487.6348,32.0,95603.375,1.1359262
657884000,487.82504,32.0,95601.2,1.1359005
657892000,487.69293,32.0,95602.72,1.1359185
657904000,487.74048,32.0,95602.164,1.1359118
657912000,487.71933,32.0,95602.414,1.1359148
657924000,487.722,32.0,95602.38,1.1359144
657932000,487.8039,32.0,95601.45,1.1359034
657944000,487.611,32.0,95603.64,1.1359293
657952000,487.60837,32.0,95603.69,1.13593
657964000,487.78275,32.0,95601.67,1.135906
657972000,487.7669,32.0,95601.86,1.1359082
657984000,487.89902,32.0,95600.336,1.1358901
657992000,487.5608,32.0,95604.23,1.1359364
658004000,487.82504,32.0,95601.19,1.1359003
658012000,487.86203,32.0,95600.78,1.1358954
658024000,487.85938,32.0,95600.8,1.1358956
658032000,487.8673,32.0,95600.7,1.1358945
658044000,487.86203,32.0,95600.79,1.1358955
658052000,487.84354,32.0,95600.98,1.1358978
658064000,487.72464,32.0,95602.35,1.1359141
658072000,487.92017,32.0,95600.12,1.1358875
658084000,487.9545,32.0,95599.7,1.1358826
658092000,487.9466,32.0,95599.81,1.1358839
658104000,487.9545,32.0,95599.72,1.1358829
658112000,487.936,32.0,95599.93,1.1358854
658124000,487.83295,32.0,95601.1,1.1358992
658132000,488.047,32.0,95598.65,1.1358701
658144000,488.0549,32.0,95598.56,1.135869
658152000,487.9677,32.0,95599.56,1.135881
658164000,487.90695,32.0,95600.26,1.1358892
658172000,487.91223,32.0,95600.21,1.1358887
658184000,487.89636,32.0,95600.37,1.1358905
658192000,488.01,32.0,95599.086,1.1358753
658204000,488.04962,32.0,95598.62,1.1358697
658212000,488.21875,32.0,95596.69,1.1358467
658224000,488.01,32.0,95599.09,1.1358753
658232000,487.98886,32.0,95599.33,1.1358782
658244000,488.1157,32.0,95597.85,1.1358606
658252000,488.08398,32.0,95598.24,1.1358652
658264000,488.03906,32.0,95598.74,1.1358712
658272000,488.21875,32.0,95596.695,1.1358469
658284000,487.95715,32.0,95599.695,1.1358825
658292000,488.14212,32.0,95597.57,1.1358572
658304000,488.29538,32.0,95595.81,1.1358364
658312000,488.03906,32.0,95598.74,1.1358712
658324000,488.3588,32.0,95595.07,1.1358275
658332000,488.0549,32.0,95598.56,1.135869
658344000,488.21875,32.0,95596.695,1.1358469
658352000,488.3852,32.0,95594.78,1.1358241
658364000,488.36142,32.0,95595.05,1.1358273
658372000,488.3535,32.0,95595.13,1.1358283
658384000,488.36142,32.0,95595.06,1.1358274
658392000,488.409,32.0,95594.51,1.1358209
658404000,488.45126,32.0,95594.016,1.135815
658412000,488.36142,32.0,95595.06,1.1358274
658424000,488.4962,32.0,95593.516,1.1358091
658432000,488.52524,32.0,95593.17,1.135805
658444000,488.61246,32.0,95592.17,1.1357931
658452000,488.37198,32.0,95594.94,1.135826
658464000,488.45126,32.0,95594.04,1.1358153
658472000,488.50412,32.0,95593.4,1.1358078
658484000,488.4777,32.0,95593.71,1.1358114
658492000,488.55432,32.0,95592.84,1.1358011
658504000,488.5913,32.0,95592.42,1.1357961
658512000,488.68378,32.0,95591.36,1.1357834
658524000,488.56754,32.0,95592.69,1.1357993
658532000,488.78156,32.0,95590.24,1.1357702
658544000,488.55167,32.0,95592.86,1.1358013
658552000,488.58865,32.0,95592.445,1.1357964
658564000,488.5279,32.0,95593.15,1.1358048
658572000,488.55432,32.0,95592.83,1.135801
658584000,488.7657,32.0,95590.43,1.1357725
658592000,488.81854,32.0,95589.82,1.1357652
658604000,488.78156,32.0,95590.25,1.1357703
658612000,488.69965,32.0,95591.164,1.1357812
658624000,488.9084,32.0,95588.8,1.135753
658632000,488.70758,32.0,95591.086,1.1357802
658644000,488.7921,32.0,95590.11,1.1357687
658652000,488.73398,32.0,95590.79,1.1357768
658664000,488.8291,32.0,95589.69,1.1357636
658672000,488.771,32.0,95590.36,1.1357716
658684000,488.70227,32.0,95591.13,1.1357808
658692000,488.9084,32.0,95588.8,1.135753
658704000,488.88724,32.0,95589.016,1.1357557
658712000,489.0088,32.0,95587.625,1.1357391
658724000,488.89517,32.0,95588.94,1.1357547
658732000,489.18582,32.0,95585.586,1.1357149
658744000,489.07748,32.0,95586.84,1.1357298
658752000,489.01672,32.0,95587.54,1.1357381
658764000,489.02728,32.0,95587.43,1.1357368
658772000,489.1541,32.0,95585.98,1.1357195
658784000,489.1092,32.0,95586.47,1.1357254
658792000,489.1092,32.0,95586.484,1.1357256
658804000,489.059,32.0,95587.055,1.1357323
658812000,489.06958,32.0,95586.92,1.1357307
658824000,489.06427,32.0,95587.0,1.1357317
658832000,489.30472,32.0,95584.234,1.1356988
658844000,489.25452,32.0,95584.836,1.135706
658852000,489.16733,32.0,95585.805,1.1357175
658864000,489.1541,32.0,95585.95,1.1357193
658872000,489.29153,32.0,95584.39,1.1357007
658884000,489.23074,32.0,95585.08,1.1357088
658892000,489.36813,32.0,95583.52,1.1356903
658904000,489.3206,32.0,95584.055,1.1356966
658912000,489.4342,32.0,95582.766,1.1356814
658924000,489.35495,32.0,95583.664,1.135692
658932000,489.23074,32.0,95585.1,1.1357092
658944000,489.2228,32.0,95585.17,1.13571
658952000,489.41837,32.0,95582.94,1.1356834
658964000,489.34174,32.0,95583.82,1.1356939
658972000,489.32324,32.0,95584.016,1.1356962
658984000,489.4844,32.0,95582.18,1.1356744
658992000,489.37872,32.0,95583.38,1.1356887
659004000,489.5716,32.0,95581.195,1.1356627
659012000,489.39722,32.0,95583.17,1.1356862
659024000,489.44476,32.0,95582.63,1.1356798
659032000,489.39456,32.0,95583.22,1.1356868
659044000,489.57425,32.0,95581.16,1.1356622
659052000,489.48706,32.0,95582.15,1.135674
659064000,489.6218,32.0,95580.625,1.1356559
659072000,489.53726,32.0,95581.57,1.1356672
659084000,489.59274,32.0,95580.93,1.1356596
659092000,489.783,32.0,95578.75,1.1356337
659104000,489.57425,32.0,95581.15,1.1356622
659112000,489.45535,32.0,95582.516,1.1356784
659124000,489.66672,32.0,95580.09,1.1356497
659132000,489.4844,32.0,95582.18,1.1356744
659144000,489.70108,32.0,95579.7,1.135645
659152000,489.80676,32.0,95578.5,1.1356307
659164000,489.86227,32.0,95577.86,1.1356231
659172000,489.8966,32.0,95577.45,1.1356182
659184000,489.90982,32.0,95577.33,1.1356168
659192000,489.80676,32.0,95578.484,1.1356305
659204000,489.9336,32.0,95577.04,1.1356133
659212000,489.8279,32.0,95578.25,1.1356277
659224000,489.75394,32.0,95579.1,1.1356379
659232000,489.89398,32.0,95577.5,1.1356188
659244000,489.8147,32.0,95578.39,1.1356294
659252000,489.9072,32.0,95577.36,1.1356171
659264000,489.8781,32.0,95577.664,1.1356207
659272000,489.8649,32.0,95577.83,1.1356227
659284000,489.8279,32.0,95578.25,1.1356277
659292000,489.85434,32.0,95577.945,1.135624
659304000,490.1265,32.0,95574.82,1.135587
659312000,489.98117,32.0,95576.49,1.1356069
659324000,490.05252,32.0,95575.69,1.1355972
659332000,490.08157,32.0,95575.34,1.1355932
659344000,490.0472,32.0,95575.73,1.1355977
659352000,489.9838,32.0,95576.46,1.1356064
659364000,490.10007,32.0,95575.125,1.1355906
659372000,490.0446,32.0,95575.766,1.1355982
659384000,490.108,32.0,95575.04,1.1355896
659392000,490.1899,32.0,95574.11,1.1355785
659404000,489.9891,32.0,95576.41,1.1356058
659412000,490.10007,32.0,95575.125,1.1355906
659424000,490.20312,32.0,95573.945,1.1355766
659432000,490.10007,32.0,95575.125,1.1355906
659444000,490.07364,32.0,95575.43,1.1355942
659452000,490.23746,32.0,95573.56,1.1355721
659464000,490.2084,32.0,95573.9,1.135576
659472000,490.32996,32.0,95572.5,1.1355594
659484000,490.16876,32.0,95574.34,1.1355813
659492000,490.2586,32.0,95573.31,1.1355691
659504000,490.2903,32.0,95572.96,1.1355649
659512000,490.18463,32.0,95574.15,1.135579
659524000,490.3379,32.0,95572.42,1.1355585
659532000,490.3088,32.0,95572.74,1.1355623
659544000,490.35638,32.0,95572.19,1.1355557
659552000,490.24805,32.0,95573.44,1.1355705
659564000,490.21634,32.0,95573.79,1.1355747
659572000,490.31146,32.0,95572.695,1.1355617
659584000,490.45413,32.0,95571.07,1.1355424
659592000,490.2401,32.0,95573.53,1.1355716
659604000,490.52814,32.0,95570.24,1.1355326
659612000,490.41452,32.0,95571.52,1.1355478
659624000,490.4885,32.0,95570.664,1.1355376
659632000,490.59683,32.0,95569.42,1.1355228
659644000,490.57568,32.0,95569.67,1.1355258
659652000,490.5387,32.0,95570.12,1.1355311
659664000,490.5202,32.0,95570.33,1.1355336
659672000,490.61267,32.0,95569.266,1.1355209
