timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
657300000,0.00129175,0.006481827,0.0038762141,-0.9809197,0.0027858578,-0.008708757,-0.19419856,0.99999833,3.727549e-05,-2.5259917e-05,0.0018613341,3
657328000,0.0034243322,0.0051585664,0.0030548724,-0.98091704,0.0027956301,-0.008694167,-0.19421262,0.99999833,3.727549e-05,-2.5259917e-05,0.0018613341,3
657360000,-0.0057274327,0.00048105605,0.0052084425,-0.98090905,0.0028079282,-0.008671778,-0.19425353,0.99999833,3.727549e-05,-2.5259917e-05,0.0018613341,3
657392000,0.005225306,0.0022795917,0.0020907237,-0.9809107,0.00275118,-0.0086050285,-0.19424872,0.99999833,3.727549e-05,-2.5259917e-05,0.0018613341,3
657428000,0.009548114,-0.0007062941,0.0031250003,-0.9809108,0.0027505932,-0.008613385,-0.1942479,0.99999833,3.727549e-05,-2.5259917e-05,0.0018613341,3
657456000,0.004228388,0.003987682,-0.0057764184,-0.980914,0.002665102,-0.008609327,-0.19423352,0.99999833,3.727549e-05,-2.5259917e-05,0.0018613341,3
657488000,-0.002393048,-0.0066891382,-0.0049433894,-0.98091155,0.0026727468,-0.00864202,-0.1942444,0.99999833,3.727549e-05,-2.5259917e-05,0.0018613341,3
657520000,0.0007612083,-0.00048739882,-0.0076003224,-0.9809182,0.0026768043,-0.008652307,-0.19420971,0.99999833,3.727549e-05,-2.5259917e-05,0.0018613341,3
657556000,-0.0048198258,0.0013227365,-0.005909211,-0.9809259,0.0026650622,-0.0086665265,-0.19417058,0.99999833,3.727549e-05,-2.5259917e-05,0.0018613341,3
657584000,-0.00015846035,0.005346206,-0.00230393,-0.98091674,0.0026517785,-0.008653604,-0.1942175,0.99999833,3.727549e-05,-2.5259917e-05,0.0018613341,3
657616000,0.027961003,0.0037240526,0.0030352948,-0.98091626,0.0024794764,-0.008714074,-0.19421966,0.99999833,3.727549e-05,-2.5259917e-05,0.0018613341,3
657648000,0.104248434,-0.006045534,-0.0046528224,-0.98091835,0.0014317759,-0.008904597,-0.19421072,0.99999833,3.727549e-05,-2.5259917e-05,0.0018613341,3
657680000,0.14434232,-0.015576316,0.005135913,-0.98091525,-0.00076177897,-0.009205359,-0.19421645,0.99999833,3.727549e-05,-2.5259917e-05,0.0018613341,3
657712000,0.13924369,-0.019673835,-0.00093195715,-0.98090357,-0.0031517637,-0.009415243,-0.19424164,0.99999833,3.727549e-05,-2.5259917e-05,0.0018613341,3
657744000,0.11125511,-0.02604714,0.0021539459,-0.98089594,-0.0051956065,-0.009460849,-0.19423366,0.99999833,3.727549e-05,-2.5259917e-05,0.0018613341,3
657776000,0.07717183,-0.025075356,-0.0050398093,-0.98089266,-0.006637848,-0.009330277,-0.19421268,0.99999833,3.727549e-05,-2.5259917e-05,0.0018613341,3
657808000,0.028852805,-0.023618996,-0.0021614088,-0.98089206,-0.007523387,-0.009074897,-0.19419536,0.99999833,3.727549e-05,-2.5259917e-05,0.0018613341,3
657840000,0.00051120087,-0.016837487,0.00072785723,-0.98090017,-0.007842558,-0.00884268,-0.1941524,0.99999833,3.727549e-05,-2.5259917e-05,0.0018613341,3
