timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
657300000,657300000,0.008442679,-0.021601055,0.01720626,0.0,0.0,0.0,0.0,-1.0
657396000,657396000,0.028450109,-0.011001546,0.00028230317,0.5000956,0.0,0.0,0.0,-1.0
657496000,657496000,0.041116074,0.0013079627,0.0002857234,0.5177499,0.0,0.0,0.0,-1.0
657596000,657596000,0.031691503,-0.006385529,-0.0005451202,0.5749265,0.0,0.0,0.0,-1.0
657696000,657696000,-0.0127097815,-0.014255773,-0.0006430793,0.6332301,0.0,0.0,0.0,-1.0
657796000,657796000,-0.0071182153,0.0010510574,0.00073049444,0.65240604,0.0,0.0,0.0,-1.0
657896000,657896000,-0.00080250367,0.0012163967,0.0010631105,0.6776843,0.0,0.0,0.0,-1.0
657996000,657996000,0.0066674137,-0.0075346488,0.00090451667,0.6930789,0.0,0.0,0.0,-1.0
658096000,658096000,-0.0007119619,0.00094682234,-0.00048723133,0.69852006,0.0,0.0,0.0,-1.0
658196000,658196000,-0.0020975685,-0.0075171404,0.0004925232,0.53856736,0.0,0.0,0.0,-1.0
658296000,658296000,0.0035241651,0.0071712187,0.0025916332,0.6918617,0.0,0.0,0.0,-1.0
658396000,658396000,-0.009648109,0.0016289651,-0.00019281718,0.50056964,0.0,0.0,0.0,-1.0
658496000,658496000,0.0034939102,0.0026396164,-0.0009576359,0.58671474,0.0,0.0,0.0,-1.0
658596000,658596000,0.0042921756,-0.0056838663,-0.00067693024,0.5810419,0.0,0.0,0.0,-1.0
658696000,658696000,-0.0009305541,0.0020197034,-0.0010596693,0.5755118,0.0,0.0,0.0,-1.0
658800000,658800000,0.0018478023,-0.008455872,9.264272e-05,0.5826736,0.0,0.0,0.0,-1.0
658896000,658896000,-0.0026714976,-0.0056975326,-0.0009948263,0.58190167,0.0,0.0,0.0,-1.0
658996000,658996000,-0.0046433946,0.006233331,-0.0009408309,0.5832008,0.0,0.0,0.0,-1.0
659096000,659096000,-0.011279171,0.00350979,-0.0015381847,0.57895774,0.0,0.0,0.0,-1.0
659200000,659200000,-0.003701434,-0.0032566995,0.0012707029,0.5780726,0.0,0.0,0.0,1.0
659296000,659296000,-0.012874037,-0.006972424,0.00053546333,0.57971984,0.0,0.0,0.0,1.0
659396000,659396000,-0.0050526666,-0.005557531,-0.00054593204,0.580066,0.0,0.0,0.0,1.0
659496000,659496000,-0.0030401347,0.020105487,6.656462e-05,0.5839948,0.0,0.0,0.0,1.0
659596000,659596000,-0.0030169243,0.006642049,0.0011226697,0.57947284,0.0,0.0,0.0,1.0
659700000,659700000,-0.009998937,0.002563282,0.0013851046,0.57912964,0.0,0.0,0.0,1.0
659796000,659796000,0.001482019,0.0024867677,0.00042181052,0.58015454,0.0,0.0,0.0,1.0
659896000,659896000,0.003229883,0.00018062722,-0.0007147906,0.58182806,0.0,0.0,0.0,1.0
659996000,659996000,-0.0005128236,-0.018355433,-0.0008989267,0.5830245,0.0,0.0,0.0,1.0
660096000,660096000,-0.006343703,0.0027634955,-0.0016778606,0.58513486,0.0,0.0,0.0,1.0
660196000,660196000,-0.021021513,-0.002334747,0.0011295729,0.57884455,0.0,0.0,0.0,1.0
660296000,660296000,0.002403427,0.011101885,-0.0008380984,0.580707,0.0,0.0,0.0,1.0
660396000,660396000,0.008142621,0.003233287,-0.0004248032,0.5798265,0.0,0.0,0.0,1.0
660496000,660496000,-0.0044253413,0.00990471,-0.0005982121,0.5833081,0.0,0.0,0.0,1.0
660596000,660596000,0.0008973604,0.00829312,-0.00029747817,0.5846564,0.0,0.0,0.0,1.0
660700000,660700000,0.00864318,0.0059893513,-0.0019103007,0.58469325,0.0,0.0,0.0,1.0
660796000,660796000,-0.007617622,-0.0041831266,-0.0006218208,0.5807568,0.0,0.0,0.0,1.0
660896000,660896000,-0.0041817855,0.0011567194,-0.00016695837,0.5821908,0.0,0.0,0.0,1.0
661000000,661000000,0.0014050206,-0.0037025367,0.00055628887,0.5808707,0.0,0.0,0.0,1.0
661096000,661096000,-0.00045909418,0.0051373774,-0.00039991943,0.5672052,0.0,0.0,0.0,1.0
661196000,661196000,-0.010228905,0.005952252,-0.0006311414,0.5663223,0.0,0.0,0.0,1.0
661296000,661296000,-0.0063677547,-0.0048905318,0.00028570555,0.56767553,0.0,0.0,0.0,1.0
661400000,661400000,-0.006092485,-0.00056394265,0.0008216864,0.5661619,0.0,0.0,0.0,1.0
661496000,661496000,-0.00071978057,-0.007826077,0.0004133224,0.5629435,0.0,0.0,0.0,1.0
661596000,661596000,-0.000944526,-0.0013098195,0.0011773694,0.5629163,0.0,0.0,0.0,1.0
661696000,661696000,-0.0020911281,-0.008435157,-0.0003295083,0.5655707,0.0,0.0,0.0,1.0
661796000,661796000,-0.0010677152,0.0016538901,-1.4806554e-05,0.56864154,0.0,0.0,0.0,1.0
661900000,661900000,0.0066333185,0.010425599,0.0011706416,0.5662908,0.0,0.0,0.0,1.0
661996000,661996000,-0.0010428542,-0.001820409,0.0030059475,0.56405663,0.0,0.0,0.0,1.0
662100000,662100000,0.005922972,-0.0013183148,0.000900355,0.5657594,0.0,0.0,0.0,1.0
662196000,662196000,-0.010873448,-0.0070039746,-0.00012726204,0.56209314,0.0,0.0,0.0,1.0
662296000,662296000,-0.011987194,0.004840375,-0.0012279211,0.56202084,0.0,0.0,0.0,1.0
662400000,662400000,0.0036966251,-0.0052237213,0.0010133808,0.5620152,0.0,0.0,0.0,1.0
662500000,662500000,0.008837597,0.003968115,0.0013821672,0.5644477,0.0,0.0,0.0,1.0
662596000,662596000,-0.008770531,-0.015310373,0.0023948867,0.5649582,0.0,0.0,0.0,1.0
662696000,662696000,-0.010728033,-0.009398722,0.0025004596,0.56421775,0.0,0.0,0.0,1.0
662796000,662796000,0.0048550772,-0.0006742809,0.00039791677,0.5632812,0.0,0.0,0.0,1.0
662896000,662896000,-0.012764894,0.0005501585,-0.001055036,0.56186426,0.0,0.0,0.0,1.0
663000000,663000000,0.007549409,-0.010797813,0.0015853901,0.5643682,0.0,0.0,0.0,1.0
663100000,663100000,0.0025475984,0.008382121,-0.0006958001,0.56390715,0.0,0.0,0.0,1.0
663200000,663200000,0.0013582197,-0.008609222,-0.0014966987,0.56508243,0.0,0.0,0.0,1.0
663296000,663296000,0.0024792943,0.007216824,-0.00068909547,0.5651126,0.0,0.0,0.0,1.0
663396000,663396000,0.00048297452,0.008946805,7.239299e-05,0.5638004,0.0,0.0,0.0,1.0
663500000,663500000,0.004661293,0.00087738945,0.00024366789,0.5627252,0.0,0.0,0.0,1.0
663596000,663596000,-0.0043100463,0.0023919353,0.00034351804,0.56460816,0.0,0.0,0.0,1.0
663700000,663700000,-0.0025339415,0.005443264,0.001715831,0.56373143,0.0,0.0,0.0,1.0
663796000,663796000,0.008141007,0.0023995498,-0.00043566196,0.5638787,0.0,0.0,0.0,1.0
663896000,663896000,-0.00047501005,0.0033394182,-0.0003754929,0.56422514,0.0,0.0,0.0,1.0
663996000,663996000,-0.011215176,0.0123873055,-0.00016874356,0.5632762,0.0,0.0,0.0,1.0
664100000,664100000,0.0065012146,-0.0010765812,0.00016651157,0.5649562,0.0,0.0,0.0,1.0
664200000,664200000,0.010473262,-0.0035947126,0.00039224047,0.5648332,0.0,0.0,0.0,1.0
664296000,664296000,0.0108723715,0.0013485239,0.00023519614,0.5634708,0.0,0.0,0.0,1.0
664396000,664396000,0.012517373,0.0020958176,0.0004919038,0.56353146,0.0,0.0,0.0,1.0
664500000,664500000,-0.0011691139,0.000276255,0.00022487718,0.5630311,0.0,0.0,0.0,1.0
664596000,664596000,-0.00890533,0.0074589583,-0.0012033447,0.56261575,0.0,0.0,0.0,1.0
664696000,664696000,0.0008033153,0.0032833954,-0.00020627973,0.56397754,0.0,0.0,0.0,1.0
664796000,664796000,0.00861809,-0.014507117,-8.90269e-05,0.5625031,0.0,0.0,0.0,1.0
664896000,664896000,0.0076321717,0.0022920468,0.0002918486,0.56346905,0.0,0.0,0.0,1.0
664996000,664996000,0.005199042,-0.0020769797,0.00055598695,0.56206673,0.0,0.0,0.0,1.0
665096000,665096000,-0.004800154,0.0056508174,-0.00011918273,0.56212384,0.0,0.0,0.0,1.0
665196000,665196000,0.0053325747,0.0038511711,0.0005966674,0.5648487,0.0,0.0,0.0,1.0
665296000,665296000,-6.171176e-06,0.0117547,0.0008603336,0.56323975,0.0,0.0,0.0,1.0
665400000,665400000,-0.0053451858,-0.0075391303,-0.00076991203,0.562432,0.0,0.0,0.0,1.0
665496000,665496000,0.009231711,-0.008590821,0.0016843516,0.56300837,0.0,0.0,0.0,1.0
665596000,665596000,0.0071636406,-0.0055343797,0.0014981731,0.5623243,0.0,0.0,0.0,1.0
665696000,665696000,0.002959849,-0.0016993654,-0.0013698146,0.56353486,0.0,0.0,0.0,1.0
665796000,665796000,-0.018748818,0.005576269,4.733166e-05,0.5608906,0.0,0.0,0.0,1.0
665900000,665900000,0.007912796,-0.0029770054,-0.00025308545,0.5629824,0.0,0.0,0.0,1.0
665996000,665996000,-0.0048528467,-0.0013241209,0.00063555926,0.5630739,0.0,0.0,0.0,1.0
666096000,666096000,0.003842133,-0.005823454,-0.0015032876,0.56366503,0.0,0.0,0.0,1.0
666196000,666196000,-0.0014285676,-0.0018256337,0.000117928554,0.5625193,0.0,0.0,0.0,1.0
666296000,666296000,0.0039342744,0.0060398025,-0.00043675868,0.56195253,0.0,0.0,0.0,1.0
666400000,666400000,-0.0053851004,0.0057716193,-3.8578408e-05,0.5615811,0.0,0.0,0.0,1.0
666496000,666496000,0.016011188,-0.009399909,0.00039336638,0.5631232,0.0,0.0,0.0,1.0
666596000,666596000,0.004387523,0.020737322,0.00017479481,0.5629625,0.0,0.0,0.0,1.0
666696000,666696000,0.0025421088,-0.005313372,-0.00013509851,0.56339115,0.0,0.0,0.0,1.0
666796000,666796000,-0.00409399,0.010595087,0.00084071484,0.56257194,0.0,0.0,0.0,1.0
666896000,666896000,-0.0008803259,-0.0035306015,-0.00084733806,0.562263,0.0,0.0,0.0,1.0
666996000,666996000,0.006425631,-0.0050151995,0.00045994617,0.56013054,0.0,0.0,0.0,1.0
667096000,667096000,0.008815229,0.0076424424,-0.031112533,0.5741764,0.0,0.0,0.0,1.0
667200000,667200000,-0.0124785565,0.028988542,-0.060625125,0.5593595,0.0,0.0,0.0,1.0
667296000,667296000,-0.02069687,0.05708594,-0.06878536,0.5639085,0.0,0.0,0.0,1.0
667396000,667396000,-0.010613723,0.005199898,-0.06684818,0.5705747,0.0,0.0,0.0,1.0
667496000,667496000,0.014468802,-0.022447512,-0.060461845,0.57227844,0.0,0.0,0.0,1.0
667600000,667600000,0.019111147,-0.038263734,-0.056219876,0.5808754,0.0,0.0,0.0,1.0
667700000,667700000,0.024547582,-0.01889196,-0.05273624,0.59232676,0.0,0.0,0.0,1.0
667796000,667796000,0.005676062,0.0076461914,-0.056678623,0.6094935,0.0,0.0,0.0,1.0
667896000,667896000,-0.00952678,0.027980667,-0.052201062,0.6190315,0.0,0.0,0.0,1.0
667996000,667996000,-0.011133338,0.027045064,-0.049956292,0.62576824,0.0,0.0,0.0,1.0
668096000,668096000,-0.014673874,0.019455029,-0.047962688,0.62968236,0.0,0.0,0.0,1.0
668196000,668196000,-0.005313944,0.007335568,-0.04442328,0.6371822,0.0,0.0,0.0,1.0
668296000,668296000,0.0011610626,0.008717433,-0.04339621,0.6428711,0.0,0.0,0.0,1.0
668396000,668396000,-0.023505416,0.0036794017,-0.053694975,0.6563607,0.0,0.0,0.0,1.0
668496000,668496000,-0.033491693,0.019931214,-0.052051164,0.6638953,0.0,0.0,0.0,1.0
668596000,668596000,-0.029055601,0.0022959514,-0.05251122,0.66565037,0.0,0.0,0.0,1.0
668700000,668700000,-0.021284001,0.0064067417,-0.044826217,0.6739036,0.0,0.0,0.0,1.0
668796000,668796000,-0.015341351,0.010913321,-0.04310706,0.6776056,0.0,0.0,0.0,1.0
668896000,668896000,-0.015216477,-0.010427762,-0.040583093,0.68270725,0.0,0.0,0.0,1.0
669000000,669000000,-0.029469239,-0.017340597,-0.04535303,0.6891118,0.0,0.0,0.0,1.0
669096000,669096000,-0.024220457,-0.015227752,-0.04222108,0.6900718,0.0,0.0,0.0,1.0
669200000,669200000,-0.016874323,-0.0075237444,-0.030176176,0.68471485,0.0,0.0,0.0,1.0
669300000,669300000,-0.03088577,-0.005688395,-0.027405165,0.68162435,0.0,0.0,0.0,1.0
669396000,669396000,-0.04048284,0.0061859693,-0.022393044,0.6772907,0.0,0.0,0.0,1.0
669496000,669496000,-0.03407551,-0.024454294,-0.026388794,0.67600846,0.0,0.0,0.0,1.0
669596000,669596000,-0.046278253,-0.0447998,-0.0375845,0.6725181,0.0,0.0,0.0,1.0
669700000,669700000,-0.046238355,-0.067182764,-0.040117092,0.67003024,0.0,0.0,0.0,1.0
669800000,669800000,-0.01500853,-0.03815591,-0.036375362,0.6624612,0.0,0.0,0.0,1.0
669896000,669896000,-0.017316753,-0.027965592,-0.031258702,0.66644186,0.0,0.0,0.0,1.0
669996000,669996000,-0.007522989,-0.022826001,-0.027379656,0.6683197,0.0,0.0,0.0,1.0
670096000,670096000,-0.018394774,-0.035083935,-0.024088506,0.67096025,0.0,0.0,0.0,1.0
670200000,670200000,-0.01733025,-0.040360644,-0.029380243,0.67191607,0.0,0.0,0.0,1.0
670296000,670296000,-0.019459583,-0.058082614,-0.031770214,0.67163813,0.0,0.0,0.0,1.0
670396000,670396000,-0.017426813,-0.044480797,-0.017742867,0.6686274,0.0,0.0,0.0,1.0
