timestamp,timestamp_utc,seq,feedback
680496000,1560333610797297,0,0
684804000,1560333615111699,1,0
688896000,1560333619210987,2,0
690708000,1560333621026424,3,0
693012000,1560333623334196,4,0
697440000,1560333627770194,5,0
698880000,1560333629213867,6,0
699996000,1560333630330927,7,0
701088000,1560333631422884,8,0
702228000,1560333632566479,9,0
703776000,1560333634117585,10,0
706412000,1560333636757844,11,0
714024000,1560333644383717,12,0
715212000,1560333645573551,13,0
717540000,1560333647906413,14,0
718724000,1560333649093194,15,0
719880000,1560333650251029,16,0
720992000,1560333651362984,17,0
722312000,1560333652687132,18,0
724304000,1560333654687596,19,0
728168000,1560333658554957,20,0
730140000,1560333660532629,21,0
734004000,1560333664405775,22,0
737792000,1560333668203086,23,0
741444000,1560333671860369,24,0
745404000,1560333675829566,25,0
746396000,1560333676821667,26,0
747948000,1560333678375549,27,0
749088000,1560333679520433,28,0
750204000,1560333680638075,29,0
751280000,1560333681716930,30,0
752336000,1560333682775939,31,0
753380000,1560333683825093,32,0
754440000,1560333684888237,33,0
755480000,1560333685929457,34,0
756504000,1560333686956431,35,0
757508000,1560333687961112,36,0
758624000,1560333689085076,37,0
760260000,1560333690722500,38,0
763352000,1560333693824448,39,0
765512000,1560333695985718,40,0
768128000,1560333698609152,41,0
771104000,1560333701593828,42,0
777932000,1560333708436554,43,0
781460000,1560333711976216,44,0
783100000,1560333713621953,45,0
784412000,1560333714938445,46,0
785576000,1560333716106844,47,0
786688000,1560333717222983,48,0
787768000,1560333718308412,49,0
788836000,1560333719383383,50,0
789916000,1560333720462719,51,0
790976000,1560333721526718,52,0
792004000,1560333722560900,53,0
793024000,1560333723584816,54,0
794032000,1560333724594433,55,0
795052000,1560333725616673,56,0
796160000,1560333726727029,57,0
797672000,1560333728242745,58,0
800528000,1560333731107827,59,0
802964000,1560333733552673,60,0
805496000,1560333736098487,61,0
809428000,1560333740100536,62,0
814496000,1560333745187998,63,0
818984000,1560333749700182,64,0
819800000,1560333750518792,65,0
821576000,1560333752300930,66,0
822704000,1560333753430561,67,0
823808000,1560333754537163,68,0
824888000,1560333755622215,69,0
825988000,1560333756724722,70,0
827072000,1560333757812779,71,0
828112000,1560333758861241,72,0
829136000,1560333759895491,73,0
830156000,1560333760921422,74,0
831184000,1560333761953938,75,0
832196000,1560333762972921,76,0
833228000,1560333764014328,77,0
834584000,1560333765383103,78,0
836944000,1560333767764340,79,0
839884000,1560333770721162,80,0
842068000,1560333772914259,81,0
846836000,1560333777713711,82,0
851992000,1560333782896235,83,0
855700000,1560333786617664,84,0
857288000,1560333788212381,85,0
859408000,1560333790341394,86,0
860560000,1560333791498065,87,0
861700000,1560333792645369,88,0
862808000,1560333793758646,89,0
863888000,1560333794847407,90,0
864940000,1560333795906812,91,0
865988000,1560333796961277,92,0
867056000,1560333798034134,93,0
868084000,1560333799069327,94,0
869108000,1560333800097884,95,0
870112000,1560333801107520,96,0
871136000,1560333802135062,97,0
872480000,1560333803486000,98,0
874592000,1560333805605824,99,0
877772000,1560333808802640,100,0
879712000,1560333810757150,101,0
883400000,1560333814465430,102,0
888844000,1560333819937985,103,0
892508000,1560333823616657,104,0
893960000,1560333825074977,105,0
896128000,1560333827252955,106,0
897316000,1560333828447734,107,0
898460000,1560333829596955,108,0
899552000,1560333830690779,109,0
900632000,1560333831777264,110,0
901700000,1560333832853293,111,0
902780000,1560333833937085,112,0
903836000,1560333834997046,113,0
904880000,1560333836045914,114,0
905908000,1560333837078790,115,0
906944000,1560333838120946,116,0
908024000,1560333839205883,117,0
909388000,1560333840576873,118,0
911660000,1560333842860155,119,0
914764000,1560333845986440,120,0
916828000,1560333848054891,121,0
921572000,1560333852845358,122,0
