timestamp,vel_pos_innov[0],vel_pos_innov[1],vel_pos_innov[2],vel_pos_innov[3],vel_pos_innov[4],vel_pos_innov[5],mag_innov[0],mag_innov[1],mag_innov[2],heading_innov,airspeed_innov,beta_innov,flow_innov[0],flow_innov[1],hagl_innov,vel_pos_innov_var[0],vel_pos_innov_var[1],vel_pos_innov_var[2],vel_pos_innov_var[3],vel_pos_innov_var[4],vel_pos_innov_var[5],mag_innov_var[0],mag_innov_var[1],mag_innov_var[2],heading_innov_var,airspeed_innov_var,beta_innov_var,flow_innov_var[0],flow_innov_var[1],hagl_innov_var,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],drag_innov[0],drag_innov[1],drag_innov_var[0],drag_innov_var[1],aux_vel_innov[0],aux_vel_innov[1]
657300000,0.036087945,-0.074281044,-0.0074900836,0.029926144,-0.053341508,-0.04031372,-0.0009881556,0.0031215549,0.0007702112,0.0020385683,0.0,0.0,0.0,0.0,0.0,0.26644945,0.266449,0.5737817,1.0981071,1.0981063,4.058102,0.0025081292,0.0025084119,0.0025082754,0.09014503,0.0,0.0,0.0,0.0,0.0,0.00028176524,0.005337771,0.012649959,0.0,0.0,0.0,0.0,0.0,0.0
657492000,0.07016764,-0.05128379,0.0126478635,0.032634743,-0.052427724,0.040283203,-0.0009881556,0.0031215549,0.0007702112,-0.009886503,0.0,0.0,0.0,0.0,0.0,0.26634544,0.2663451,0.5737295,1.0975533,1.0975525,4.0580373,0.0025081292,0.0025084119,0.0025082754,0.09014501,0.0,0.0,0.0,0.0,0.0,0.00028199892,0.005826844,0.013411307,0.0,0.0,0.0,0.0,0.0,0.0
657692000,0.08472022,-0.060915377,-0.002047002,0.032032482,-0.053953193,0.021820068,-0.0009881556,0.0031215549,0.0007702112,0.0031497478,0.0,0.0,0.0,0.0,0.0,0.26625502,0.26625478,0.57377386,1.0970551,1.0970544,4.0578647,0.0025081292,0.0025084119,0.0025082754,0.090144984,0.0,0.0,0.0,0.0,0.0,0.00030485654,0.0066897967,0.014813528,0.0,0.0,0.0,0.0,0.0,0.0
657892000,0.054780662,-0.053049736,-0.052320343,0.01934932,-0.05384481,0.0011901855,-0.0009881556,0.0031215549,0.0007702112,-0.008377105,0.0,0.0,0.0,0.0,0.0,0.2662035,0.26620337,0.57372427,1.0966079,1.0966073,4.0581098,0.0025081292,0.0025084119,0.0025082754,0.090145044,0.0,0.0,0.0,0.0,0.0,0.00028294447,0.005070974,0.011684785,0.0,0.0,0.0,0.0,0.0,0.0
658092000,0.0727027,-0.040621936,-0.20384124,0.03244874,-0.051129326,0.0073547363,-0.0009881556,0.0031215549,0.0007702112,0.0071367323,0.0,0.0,0.0,0.0,0.0,0.26646528,0.26646516,0.5737714,1.0962429,1.0962423,4.0579457,0.0025081292,0.0025084119,0.0025082754,0.090145014,0.0,0.0,0.0,0.0,0.0,0.0002765159,0.0056118295,0.011657158,0.0,0.0,0.0,0.0,0.0,0.0
658292000,0.033533905,-0.048601825,-0.3013417,0.02877219,-0.043356054,-0.024414062,-0.0009881556,0.0031215549,0.0007702112,-0.008539498,0.0,0.0,0.0,0.0,0.0,0.2669279,0.2669276,0.573722,1.0959791,1.0959786,4.0578814,0.0025081292,0.0025084119,0.0025082754,0.09014499,0.0,0.0,0.0,0.0,0.0,0.00023355833,0.004872188,0.008436977,0.0,0.0,0.0,0.0,0.0,0.0
658492000,0.048339345,-0.04703174,0.027417064,0.02923591,-0.05604186,-0.062286377,-0.0009881556,0.0031215549,0.0007702112,-0.008888483,0.0,0.0,0.0,0.0,0.0,0.26708528,0.26708502,0.5737704,1.0957844,1.0957841,4.0578146,0.0025081292,0.0025084119,0.0025082754,0.09014497,0.0,0.0,0.0,0.0,0.0,0.00023644754,0.003316651,0.0073441756,0.0,0.0,0.0,0.0,0.0,0.0
658692000,0.04391015,-0.084500305,0.11376011,0.028731428,-0.061189912,0.01889038,-0.0009881556,0.0031215549,0.0007702112,0.001843363,0.0,0.0,0.0,0.0,0.0,0.26718488,0.26718467,0.5737238,1.0956486,1.0956483,4.057964,0.0025081292,0.0025084119,0.0025082754,0.09014503,0.0,0.0,0.0,0.0,0.0,0.00030016768,0.006028369,0.013886396,0.0,0.0,0.0,0.0,0.0,0.0
658892000,0.052573144,-0.05279187,0.01598227,0.029981133,-0.061654996,-0.06085205,-0.0009881556,0.0031215549,0.0007702112,-0.007928938,0.0,0.0,0.0,0.0,0.0,0.26699883,0.26699856,0.57367724,1.0954741,1.0954739,4.0579042,0.0025081292,0.0025084119,0.0025082754,0.09014501,0.0,0.0,0.0,0.0,0.0,0.00028796404,0.004289948,0.009553442,0.0,0.0,0.0,0.0,0.0,0.0
659092000,0.059986863,-0.02708203,0.041952133,0.029534727,-0.058458775,0.16137695,-0.0009881556,0.0031215549,0.0007702112,0.005162269,0.0,0.0,0.0,0.0,0.0,0.2668238,0.26682347,0.5737264,1.095306,1.0953058,4.057738,0.0025081292,0.0025084119,0.0025082754,0.09827869,0.0,0.0,0.0,0.0,0.0,0.0007856146,0.0052868654,0.013274119,0.0,0.0,0.0,0.0,0.0,0.0
659292000,0.06192504,-0.053616,0.05716276,0.039314054,-0.059872624,-0.1027832,-0.0009881556,0.0031215549,0.0007702112,-0.004129499,0.0,0.0,0.0,0.0,0.0,0.26536947,0.26536885,0.5736823,1.0949719,1.0949717,4.0579886,0.0025081292,0.0025084119,0.0025082754,0.0945294,0.0,0.0,0.0,0.0,0.0,0.0032009745,0.0049382797,0.012514675,0.0,0.0,0.0,0.0,0.0,0.0
659492000,0.054447725,-0.021870889,0.029238462,0.037546743,-0.05981145,0.0619812,-0.0009881556,0.0031215549,0.0007702112,0.0043819845,0.0,0.0,0.0,0.0,0.0,0.26436722,0.26436558,0.57373464,1.0945083,1.094508,4.0578313,0.0025081292,0.0025084119,0.0025082754,0.09322952,0.0,0.0,0.0,0.0,0.0,0.0004626472,0.004622122,0.012493371,0.0,0.0,0.0,0.0,0.0,0.0
659692000,0.0635968,-0.036759727,0.07975495,0.037234034,-0.05714884,-0.02130127,-0.0009881556,0.0031215549,0.0007702112,-0.0067687333,0.0,0.0,0.0,0.0,0.0,0.26374137,0.26373887,0.57369107,1.0939474,1.093947,4.0577745,0.0025081292,0.0025084119,0.0025082754,0.09244145,0.0,0.0,0.0,0.0,0.0,0.0004304641,0.005049046,0.013206384,0.0,0.0,0.0,0.0,0.0,0.0
659892000,0.04492159,-0.051157176,0.074320436,0.036369376,-0.054203983,0.014892578,-0.0009881556,0.0031215549,0.0007702112,0.0047662556,0.0,0.0,0.0,0.0,0.0,0.26343495,0.26343176,0.5737448,1.0933231,1.0933228,4.057715,0.0025081292,0.0025084119,0.0025082754,0.091962695,0.0,0.0,0.0,0.0,0.0,0.0009984244,0.004419246,0.011567423,0.0,0.0,0.0,0.0,0.0,0.0
660092000,0.06772311,-0.05375638,0.042539,0.0490789,-0.058275238,0.062927246,-0.0009881556,0.0031215549,0.0007702112,0.0051105917,0.0,0.0,0.0,0.0,0.0,0.26339814,0.2633943,0.57370394,1.0926698,1.0926694,4.0578704,0.0025081292,0.0025084119,0.0025082754,0.09167148,0.0,0.0,0.0,0.0,0.0,0.0006947842,0.004346866,0.011847164,0.0,0.0,0.0,0.0,0.0,0.0
660292000,0.049589932,-0.06692013,0.03566873,0.04799468,-0.05518734,-0.07296753,-0.0009881556,0.0031215549,0.0007702112,-0.0013950169,0.0,0.0,0.0,0.0,0.0,0.26358837,0.2635838,0.5736631,1.0920213,1.0920206,4.0578194,0.0025081292,0.0025084119,0.0025082754,0.09143249,0.0,0.0,0.0,0.0,0.0,0.0001618751,0.0037836106,0.01069017,0.0,0.0,0.0,0.0,0.0,0.0
660492000,0.059494548,-0.046225183,0.021437407,0.060112737,-0.051441427,0.13330078,-0.0009881556,0.0031215549,0.0007702112,-0.0042310357,0.0,0.0,0.0,0.0,0.0,0.26396063,0.26395544,0.5737174,1.0914088,1.091408,4.0576606,0.0025081292,0.0025084119,0.0025082754,0.091271035,0.0,0.0,0.0,0.0,0.0,0.00028235535,0.0034529492,0.009886363,0.0,0.0,0.0,0.0,0.0,0.0
660692000,0.07036016,-0.032326788,0.015257835,0.07024512,-0.049701124,0.103149414,-0.0009881556,0.0031215549,0.0007702112,-0.007504493,0.0,0.0,0.0,0.0,0.0,0.26447484,0.26446956,0.57367855,1.0908607,1.0908595,4.057919,0.0025081292,0.0025084119,0.0025082754,0.09112814,0.0,0.0,0.0,0.0,0.0,0.0008276121,0.0042746263,0.011889856,0.0,0.0,0.0,0.0,0.0,0.0
660892000,0.09550026,-0.032342773,0.058846474,0.06730363,-0.04143953,0.07550049,-0.0009881556,0.0031215549,0.0007702112,-0.008405149,0.0,0.0,0.0,0.0,0.0,0.26509973,0.26509362,0.5737351,1.0904008,1.0903993,4.0577693,0.0025081292,0.0025084119,0.0025082754,0.09102571,0.0,0.0,0.0,0.0,0.0,0.001072158,0.0054672076,0.013149108,0.0,0.0,0.0,0.0,0.0,0.0
661092000,0.041196484,-0.002742147,0.01894474,0.072485805,-0.04140954,0.06097412,-0.0009881556,0.0031215549,0.0007702112,0.0027640164,0.0,0.0,0.0,0.0,0.0,0.26578662,0.26577988,0.5736953,1.0900469,1.090045,4.0577207,0.0025081292,0.0025084119,0.0025082754,0.090930745,0.0,0.0,0.0,0.0,0.0,0.0006500211,0.004942427,0.013002173,0.0,0.0,0.0,0.0,0.0,0.0
661292000,0.06546703,-0.03541856,0.07008159,0.08221356,-0.03719642,0.045562744,-0.0009881556,0.0031215549,0.0007702112,-0.0013386309,0.0,0.0,0.0,0.0,0.0,0.26650518,0.26649824,0.5737519,1.0898106,1.0898082,4.0576696,0.0025081292,0.0025084119,0.0025082754,0.09085196,0.0,0.0,0.0,0.0,0.0,0.0005838284,0.0046261554,0.011646685,0.0,0.0,0.0,0.0,0.0,0.0
661492000,0.0699268,-0.0025010835,0.0818311,0.07854408,-0.02996718,0.040740967,-0.0009881556,0.0031215549,0.0007702112,-0.011229962,0.0,0.0,0.0,0.0,0.0,0.26715535,0.26714873,0.57371336,1.0896932,1.0896903,4.0578322,0.0025081292,0.0025084119,0.0025082754,0.09079244,0.0,0.0,0.0,0.0,0.0,0.0005725739,0.005259283,0.012016242,0.0,0.0,0.0,0.0,0.0,0.0
661692000,0.057950057,-0.0025590565,0.040955544,0.09728722,-0.033778034,-0.008270264,-0.0009881556,0.0031215549,0.0007702112,-0.0059554577,0.0,0.0,0.0,0.0,0.0,0.26777998,0.2677732,0.5736742,1.0896907,1.0896873,4.0577884,0.0025081292,0.0025084119,0.0025082754,0.09073476,0.0,0.0,0.0,0.0,0.0,0.0003442847,0.005111011,0.011784218,0.0,0.0,0.0,0.0,0.0,0.0
661892000,0.057950057,-0.0025590565,0.040955544,0.09728722,-0.033778034,0.0068359375,-0.0009881556,0.0031215549,0.0007702112,0.001586169,0.0,0.0,0.0,0.0,0.0,0.26777998,0.2677732,0.5736742,1.0896907,1.0896873,4.058308,0.0025081292,0.0025084119,0.0025082754,0.09069018,0.0,0.0,0.0,0.0,0.0,0.0002778728,0.004084772,0.010150882,0.0,0.0,0.0,0.0,0.0,0.0
662092000,0.081039086,-0.0015643667,0.06419587,0.09763156,-0.032320414,0.09313965,-0.0009881556,0.0031215549,0.0007702112,0.009573191,0.0,0.0,0.0,0.0,0.0,0.26952556,0.2695184,0.5738428,1.0949699,1.0949652,4.0585575,0.0025081292,0.0025084119,0.0025082754,0.09064617,0.0,0.0,0.0,0.0,0.0,0.00033623163,0.004171379,0.010407151,0.0,0.0,0.0,0.0,0.0,0.0
662292000,0.09038672,-0.0012590941,0.14310622,0.09034055,-0.020623857,0.101501465,-0.0009881556,0.0031215549,0.0007702112,0.0053009987,0.0,0.0,0.0,0.0,0.0,0.26989534,0.26988858,0.5737908,1.0947313,1.0947264,4.0583925,0.0025081292,0.0025084119,0.0025082754,0.09061156,0.0,0.0,0.0,0.0,0.0,0.0006051011,0.0059689386,0.0151200835,0.0,0.0,0.0,0.0,0.0,0.0
