timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
3208000,-0.0029789368,-0.0012018456,-0.0063605607,0.9790619,-0.008192837,-0.015924398,0.20277369,0.97903603,0.0045234784,-0.004332732,0.20359087,1
3240000,-0.0003418962,-0.0033741945,-0.0035636397,0.97905934,-0.008203571,-0.015996745,0.20278013,0.97903603,0.0045234784,-0.004332732,0.20359087,1
3272000,-0.0029142594,-0.0071836156,-0.0015754605,0.9790541,-0.008234209,-0.016132176,0.20279309,0.97903603,0.0045234784,-0.004332732,0.20359087,1
3304000,-0.0055846283,-0.00045943158,0.0040431186,0.979049,-0.008282251,-0.016228829,0.20280777,0.97903603,0.0045234784,-0.004332732,0.20359087,1
3336000,-0.004273085,-0.005046918,-0.00067535264,0.97905165,-0.008292961,-0.016314933,0.20278803,0.97903603,0.0045234784,-0.004332732,0.20359087,1
3372000,-0.0031099583,-0.0132083595,0.0017857347,0.97904295,-0.008345161,-0.01641651,0.20281988,0.97903603,0.0045234784,-0.004332732,0.20359087,1
3400000,-0.001973267,-0.00824939,0.0017403304,0.97904843,-0.008366479,-0.016548788,0.2027813,0.97903603,0.0045234784,-0.004332732,0.20359087,1
3432000,-0.0009292083,-0.009328474,0.0020524245,0.97905374,-0.008319423,-0.016670292,0.20274818,0.97903603,0.0045234784,-0.004332732,0.20359087,1
3464000,0.0013128681,-0.010707914,-0.0015451463,0.97905284,-0.008281906,-0.016828276,0.20274095,0.97903603,0.0045234784,-0.004332732,0.20359087,1
3496000,-0.0021311082,-0.0066068503,-0.0036599452,0.9790616,-0.008259931,-0.016950205,0.20268929,0.97903603,0.0045234784,-0.004332732,0.20359087,1
3528000,-0.0021419444,0.00016552527,-0.0004210025,0.9790572,-0.008267443,-0.017059471,0.20270115,0.97903603,0.0045234784,-0.004332732,0.20359087,1
