timestamp,rollspeed,pitchspeed,yawspeed,rollspeed_integ,pitchspeed_integ,yawspeed_integ,additional_integ1
1920000,0.0056260396,-0.01227113,-0.0021807726,0.0,0.0,0.0,0.0
1956000,-0.0026400979,-0.0044930778,-0.0022175524,0.0,0.0,0.0,0.0
1988000,-0.0033620335,-0.0029080645,0.0049007153,0.0,0.0,0.0,0.0
2020000,-0.001465277,-0.0067692776,0.000600583,0.0,0.0,0.0,0.0
2048000,0.0016985912,-0.013853544,0.006162829,0.0,0.0,0.0,0.0
2084000,-0.006627231,-0.011485664,-0.0005874978,0.0,0.0,0.0,0.0
2112000,-0.010576325,-0.015295616,0.0016198053,0.0,0.0,0.0,0.0
2144000,0.0007455931,-0.011637851,0.0090896515,0.0,0.0,0.0,0.0
2180000,-0.0022931737,-0.006523889,-0.0066679567,0.0,0.0,0.0,0.0
2208000,-0.0118988175,-0.007915422,-0.008473134,0.0,0.0,0.0,0.0
2240000,0.0010678219,0.00032501676,0.0034719708,0.0,0.0,0.0,0.0
2276000,-0.007819949,-0.005799664,0.0030488342,0.0,0.0,0.0,0.0
2304000,0.00062531896,-0.0077746003,-0.0016110188,0.0,0.0,0.0,0.0
2336000,0.0012075112,-0.012496731,0.003447758,0.0,0.0,0.0,0.0
2368000,-0.0063858693,-0.006861315,-0.01502007,0.0,0.0,0.0,0.0
2400000,0.007543126,-0.0018586641,-0.005365025,0.0,0.0,0.0,0.0
2436000,-0.0004567265,-0.0007403467,-0.0013680987,0.0,0.0,0.0,0.0
2464000,-0.0073774797,-0.004475036,-0.0019229648,0.0,0.0,0.0,0.0
2496000,-0.0038022043,0.0009532219,-0.007884126,0.0,0.0,0.0,0.0
2528000,0.0057711336,-0.005283214,-0.0017592525,0.0,0.0,0.0,0.0
2560000,0.0049204957,-0.0117805125,0.004390569,0.0,0.0,0.0,0.0
2592000,0.0033280237,-0.0052259355,0.006960364,0.0,0.0,0.0,0.0
2624000,-0.0071100607,-0.003698609,0.0027662874,0.0,0.0,0.0,0.0
2656000,-0.001806697,-0.009205579,-0.005266269,0.0,0.0,0.0,0.0
2692000,-0.010759342,0.0032806366,0.008025536,0.0,0.0,0.0,0.0
2720000,0.0006531416,0.0033810844,0.009213845,0.0,0.0,0.0,0.0
2756000,-0.004700348,-0.00053940935,-0.0011482859,0.0,0.0,0.0,0.0
2788000,0.006376114,-0.009210883,-0.00200229,0.0,0.0,0.0,0.0
2820000,-0.008974206,-0.0055341437,0.0019722844,0.0,0.0,0.0,0.0
2852000,-0.0050625945,-0.009896294,-0.0076522785,0.0,0.0,0.0,0.0
2880000,-0.0024320872,-0.009953838,0.0082386285,0.0,0.0,0.0,0.0
2912000,-0.0051448043,-0.015446573,0.0020012984,0.0,0.0,0.0,0.0
2944000,0.003569267,-0.0011352843,0.0015438484,0.0,0.0,0.0,0.0
2976000,-0.0076989816,-0.003966752,0.002072249,0.0,0.0,0.0,0.0
3012000,0.0001625493,-0.0030793797,-0.0026330936,0.0,0.0,0.0,0.0
3040000,-0.0035643135,7.814359e-05,-0.0014687903,0.0,0.0,0.0,0.0
3076000,-0.00861104,-0.0048931227,0.0022828728,0.0,0.0,0.0,0.0
3104000,-0.005793808,-0.017437514,0.009729811,0.0,0.0,0.0,0.0
3140000,0.00285488,-0.00863582,-0.00044579405,0.0,0.0,0.0,0.0
3172000,-0.007100688,-0.007241169,0.0026001215,0.0,0.0,0.0,0.0
3200000,-0.00082003867,-0.00019077909,0.0056497427,0.0,0.0,0.0,0.0
3236000,0.0032921138,-0.006264346,-0.0035229642,0.0,0.0,0.0,0.0
3264000,-0.00794804,-0.01122461,-0.00517103,0.0,0.0,0.0,0.0
3296000,-0.0022550987,-0.0053152964,7.997599e-05,0.0,0.0,0.0,0.0
3328000,-0.00088904536,-0.0030742777,0.0035541442,0.0,0.0,0.0,0.0
3360000,-0.00047932492,-0.006429211,-0.0024046735,0.0,0.0,0.0,0.0
3396000,-0.009570256,-0.010108889,-0.0014680473,0.0,0.0,0.0,0.0
3424000,0.0030036713,-0.012133925,-0.003247836,0.0,0.0,0.0,0.0
3456000,0.0005882724,-0.01528919,0.0005702781,0.0,0.0,0.0,0.0
3492000,0.0056432346,-0.0068386463,-0.006861375,0.0,0.0,0.0,0.0
3520000,-9.453656e-06,-0.0010669339,0.0048290826,0.0,0.0,0.0,0.0
3556000,-0.0066926903,-0.009978649,0.0012728279,0.0,0.0,0.0,0.0
3584000,-0.005249989,-0.012962767,-0.0013169005,0.0,0.0,0.0,0.0
3616000,-0.0025283676,-0.0040401504,-0.007591952,0.0,0.0,0.0,0.0
3648000,-0.0044497233,-0.002687159,0.003109373,0.0,0.0,0.0,0.0
3680000,-0.0051139086,-0.0069081797,-0.00090477464,0.0,0.0,0.0,0.0
3716000,-0.0042338907,-0.01463438,0.008231568,0.0,0.0,0.0,0.0
3744000,-0.0070055043,-0.0052081775,-0.008865718,0.0,0.0,0.0,0.0
3776000,-0.0038491304,-0.0038485616,-0.0009903675,0.0,0.0,0.0,0.0
3812000,-0.0074157454,-0.0017415838,-0.0002753628,0.0,0.0,0.0,0.0
3840000,-0.0061472985,0.002754324,-0.007445266,0.0,0.0,0.0,0.0
3872000,-0.010955322,-0.0020696116,0.0030207369,0.0,0.0,0.0,0.0
3904000,-0.0051522576,-0.00802117,0.0020256927,0.0,0.0,0.0,0.0
3936000,-0.0033043006,-0.009020444,0.0037873634,0.0,0.0,0.0,0.0
3968000,0.0067001698,-0.0019898443,0.008226216,0.0,0.0,0.0,0.0
3999999,-0.0004862889,-0.003376271,0.007661648,0.0,0.0,0.0,0.0
4031999,0.0009930051,-0.007929266,-0.0033539168,0.0,0.0,0.0,0.0
4063999,-0.00068663486,-0.007411428,-0.0020480042,0.0,0.0,0.0,0.0
4100000,-0.0068079466,-0.005624122,-0.0028237475,0.0,0.0,0.0,0.0
4127999,-0.00013923738,-0.0048043453,-0.003353132,0.0,0.0,0.0,0.0
4164000,-0.0034425403,-0.0052282605,-0.0020295344,0.0,0.0,0.0,0.0
