timestamp,states[0],states[1],states[2],states[3],states[4],states[5],states[6],states[7],states[8],states[9],states[10],states[11],states[12],states[13],states[14],states[15],states[16],states[17],states[18],states[19],states[20],states[21],states[22],states[23],vibe[0],vibe[1],vibe[2],covariances[0],covariances[1],covariances[2],covariances[3],covariances[4],covariances[5],covariances[6],covariances[7],covariances[8],covariances[9],covariances[10],covariances[11],covariances[12],covariances[13],covariances[14],covariances[15],covariances[16],covariances[17],covariances[18],covariances[19],covariances[20],covariances[21],covariances[22],covariances[23],control_mode_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,gps_check_fail_flags,filter_fault_flags,innovation_check_flags,solution_status_flags,n_states,pre_flt_fail,health_flags,timeout_flags
3160000,0.9790472,-0.008160858,-0.015291663,0.20289485,0.018098643,0.00026383973,-0.11274812,0.0025995946,-0.00019320505,-0.0468531,-3.75677e-09,-1.2198613e-08,1.6087667e-07,1.1592763e-06,-7.0763787e-07,-2.2045479e-06,0.20307635,0.009092642,0.43550566,0.0,0.0,0.0,0.0,0.0,5.739083e-10,2.4972886e-05,0.00030157223,2.100284e-05,4.3069107e-05,4.2989916e-05,0.0004860499,0.11987844,0.11987967,0.4487797,0.027747659,0.027747689,0.19071609,6.399208e-09,6.399222e-09,6.3754486e-09,2.54819e-06,2.548189e-06,2.5519275e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531,0.2355745,0.43671054,0.008211495,0.0,4.8982547e-05,0.0086105745,0.0,0.0,0.0,0.0,0,0,0,165,24,0,0,0
3360000,0.9790855,-0.008192934,-0.015859004,0.20266455,0.027361605,0.0015021465,-0.11323794,0.0043240497,-1.0081948e-05,-0.045460388,-1.9641933e-08,-5.101569e-08,2.5971923e-07,3.736031e-06,-1.834841e-06,-1.1509752e-05,0.20307635,0.009092642,0.43550566,0.0,0.0,0.0,0.0,0.0,5.821085e-10,2.5328654e-05,0.00029166034,1.7986678e-05,5.2485007e-05,5.241137e-05,0.000416322,0.07267401,0.07267581,0.37701938,0.021920228,0.021920279,0.18778129,6.394915e-09,6.39494e-09,6.358141e-09,2.5258225e-06,2.5258198e-06,2.5396905e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531,0.20938124,0.4333374,0.00037693878,0.0,8.5887e-05,0.0051472615,0.0,0.0,0.0,0.0,0,0,0,165,24,0,0,0
3560000,0.97902846,-0.008344009,-0.016492728,0.20288332,0.035023645,0.0015966491,-0.1323024,0.006446804,0.00016643124,-0.06222037,-7.264106e-08,-1.7008188e-07,1.1712129e-07,1.056045e-05,-4.612846e-06,-1.5809517e-05,0.20307635,0.009092642,0.43550566,0.0,0.0,0.0,0.0,0.0,5.894476e-10,2.3847731e-05,0.00030044687,1.5568825e-05,6.3622145e-05,6.3553816e-05,0.00036004753,0.055328965,0.055331286,0.30780712,0.018410258,0.018410346,0.18374619,6.381029e-09,6.3810703e-09,6.3310415e-09,2.4785174e-06,2.4785093e-06,2.5194965e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531,0.19188696,0.42865625,0.015849965,0.0,0.00013396259,0.014424286,0.0,0.0,0.0,0.0,0,0,0,165,24,0,0,0
3760000,0.9790823,-0.008312036,-0.017206201,0.20256557,0.04469498,0.0024102186,-0.12885118,0.009603886,0.00040321497,-0.06194415,-1.5841947e-07,-4.0642496e-07,3.689672e-07,2.1942651e-05,-8.880521e-06,-3.1151005e-05,0.20307635,0.009092642,0.43550566,0.0,0.0,0.0,0.0,0.0,6.60696e-10,2.509417e-05,0.00028453712,1.4011813e-05,7.6274795e-05,7.6206554e-05,0.0003240005,0.052361064,0.052364457,0.2575381,0.017514916,0.017515078,0.18573217,6.351811e-09,6.35187e-09,6.299205e-09,2.4067724e-06,2.4067535e-06,2.4946296e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531,0.18716301,0.43096656,0.014023189,0.0,0.00019167455,0.003291185,0.0,0.0,0.0,0.0,0,0,0,165,24,0,0,0
3960000,0.97911507,-0.008260312,-0.017789911,0.20235857,0.05264024,0.0024641983,-0.144015,0.012543486,0.00047807713,-0.07722614,-3.541356e-07,-9.283534e-07,6.250051e-07,4.402788e-05,-1.7333148e-05,-4.0942057e-05,0.20307635,0.009092642,0.43550566,0.0,0.0,0.0,0.0,0.0,6.996051e-10,2.5763347e-05,0.0002777582,1.2665264e-05,8.969309e-05,8.962702e-05,0.0002925802,0.052225217,0.05222949,0.21155086,0.016186628,0.016186874,0.1767661,6.2850467e-09,6.2851244e-09,6.253803e-09,2.284992e-06,2.284951e-06,2.4584183e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531,0.17992638,0.4204356,0.015377474,0.0,0.00025940657,0.008828369,0.0,0.0,0.0,0.0,0,0,0,165,24,0,0,0
4156000,0.97913796,-0.008374573,-0.01825495,0.20220193,0.057492383,0.0036215936,-0.15724152,0.015449964,0.00060991326,-0.09460462,-6.5548454e-07,-1.7109649e-06,7.5338403e-07,7.291478e-05,-2.8456003e-05,-5.125803e-05,0.20307635,0.009092642,0.43550566,0.0,0.0,0.0,0.0,0.0,6.6609385e-10,2.4788545e-05,0.00027074188,1.1765869e-05,0.000102886705,0.00010282355,0.00027171613,0.055014547,0.055019353,0.18211669,0.016193226,0.01619358,0.17213686,6.181021e-09,6.181113e-09,6.2043743e-09,2.1411793e-06,2.1411083e-06,2.4183184e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531,0.17996335,0.4148938,0.005753395,0.0,0.00030986522,0.002592073,0.0,0.0,0.0,0.0,0,0,0,165,24,0,0,0
4356000,0.97916514,-0.008287692,-0.018641178,0.20203829,0.065051615,0.00375583,-0.15223733,0.017895004,0.0008436833,-0.09022536,-1.1396837e-06,-2.9868195e-06,8.1359224e-07,0.000113487615,-4.3499753e-05,-8.472964e-05,0.20307635,0.009092642,0.43550566,0.0,0.0,0.0,0.0,0.0,6.4248584e-10,2.4260784e-05,0.00027626773,1.0944112e-05,0.00011578166,0.00011572124,0.0002528321,0.056388333,0.056393944,0.1573501,0.016069034,0.01606948,0.16340375,6.006238e-09,6.006337e-09,6.1373036e-09,1.9578574e-06,1.9577426e-06,2.3642415e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531,0.17927217,0.4042323,0.014035112,0.0,0.00036998696,0.0024986153,0.0,0.0,0.0,0.0,0,0,0,165,24,0,0,0
4556000,0.9791213,-0.0082949335,-0.018986966,0.202218,0.07035949,0.0030490318,-0.15476409,0.020979093,0.0010185298,-0.09397924,-1.6986091e-06,-4.468866e-06,7.2947756e-07,0.00015448775,-5.8530368e-05,-0.00011385945,0.20307635,0.009092642,0.43550566,0.0,0.0,0.0,0.0,0.0,6.5530276e-10,2.4325056e-05,0.00028928753,1.0448979e-05,0.00012841153,0.00012835317,0.00024083469,0.05851342,0.058519218,0.14404924,0.017047994,0.01704857,0.1609118,5.8018883e-09,5.801984e-09,6.0678054e-09,1.7963699e-06,1.7962107e-06,2.3076977e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531,0.18465254,0.40113813,0.007917038,0.0,0.0004109185,0.0046962677,0.0,0.0,0.0,0.0,0,0,0,165,24,0,0,0
4756000,0.97902024,-0.008294698,-0.019071719,0.20269938,0.069834165,0.001126031,-0.16620901,0.021868298,0.0007153921,-0.11277643,-2.4898045e-06,-6.4815645e-06,3.6134278e-08,0.00020247384,-7.665927e-05,-0.00013130398,0.20307635,0.009092642,0.43550566,0.0,0.0,0.0,0.0,0.0,6.50857e-10,2.4772846e-05,0.00029055652,9.964806e-06,0.00013880502,0.00013875139,0.00022918105,0.05611464,0.056119464,0.13197215,0.016799562,0.016800126,0.15257931,5.5244893e-09,5.5245635e-09,5.978107e-09,1.6356726e-06,1.6354661e-06,2.2326376e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531,0.18330218,0.390614,0.00086961914,0.0,0.0004409996,0.00025745702,0.0,0.0,0.0,0.0,0,0,0,165,24,0,0,0
4956000,0.9789599,-0.008058617,-0.019110467,0.20299633,0.07028364,0.003621683,-0.16776249,0.023250688,0.000748182,-0.114845075,-3.2842518e-06,-8.433936e-06,-7.2032975e-07,0.00024084192,-9.130735e-05,-0.00017428685,0.20307635,0.009092642,0.43550566,0.0,0.0,0.0,0.0,0.0,5.991492e-10,2.491748e-05,0.0003056785,9.673472e-06,0.0001491404,0.0001490884,0.00022240891,0.05480463,0.054809038,0.12676442,0.01753015,0.017530723,0.15101342,5.252127e-09,5.2521747e-09,5.8880643e-09,1.5246717e-06,1.5244309e-06,2.1553349e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531,0.18724549,0.38860446,0.014192102,0.0,0.00045840951,0.017700141,0.0,0.0,0.0,0.0,0,0,0,165,24,0,0,0
