timestamp,lat,lon,alt,x,y,z,yaw,valid_alt,valid_hpos,manual_home
11112000,0.0,0.0,488.05832,0.0,0.0,0.0,0.0,1,0,0
12156000,47.397750724079685,8.545607204382693,488.06778,-0.008441954,-0.014723799,-0.009458563,0.4069203,1,1,0
142312000,47.39775040162534,8.545607366949389,488.0044,-0.04429724,-0.0024876662,0.053922247,0.4135187,1,1,0
