timestamp,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho
3224000,487.5529,32.0,95604.31,1.1359373
3236000,487.71405,32.0,95602.47,1.1359155
3244000,487.70084,32.0,95602.61,1.1359172
3256000,487.6031,32.0,95603.74,1.1359307
3264000,487.58987,32.0,95603.88,1.1359323
3276000,487.61893,32.0,95603.55,1.1359283
3284000,487.56345,32.0,95604.19,1.1359359
3296000,487.66385,32.0,95603.05,1.1359223
3304000,487.71143,32.0,95602.49,1.1359158
3316000,487.66913,32.0,95602.984,1.1359216
3324000,487.72464,32.0,95602.36,1.1359142
3336000,487.69293,32.0,95602.7,1.1359183
3344000,487.71143,32.0,95602.51,1.135916
3356000,487.66122,32.0,95603.086,1.1359228
3364000,487.75104,32.0,95602.05,1.1359105
3376000,487.77747,32.0,95601.74,1.1359068
3384000,487.56873,32.0,95604.14,1.1359353
3396000,487.53174,32.0,95604.56,1.1359403
3404000,487.56607,32.0,95604.16,1.1359355
3416000,487.54758,32.0,95604.38,1.1359382
3424000,487.65063,32.0,95603.18,1.135924
3436000,487.39963,32.0,95606.07,1.1359583
3444000,487.49738,32.0,95604.95,1.135945
3456000,487.70084,32.0,95602.625,1.1359173
3464000,487.62686,32.0,95603.484,1.1359276
3476000,487.6031,32.0,95603.75,1.1359307
3484000,487.68234,32.0,95602.83,1.1359197
3496000,487.6427,32.0,95603.28,1.1359252
3504000,487.66913,32.0,95602.97,1.1359215
3516000,487.3362,32.0,95606.8,1.1359669
3524000,487.62686,32.0,95603.48,1.1359274
3536000,487.65857,32.0,95603.11,1.1359231
3544000,487.4921,32.0,95605.01,1.1359457
3556000,487.5529,32.0,95604.33,1.1359376
3564000,487.60837,32.0,95603.67,1.1359298
3576000,487.57138,32.0,95604.12,1.1359351
3584000,487.7035,32.0,95602.58,1.1359168
3596000,487.72464,32.0,95602.36,1.1359142
3604000,487.69293,32.0,95602.72,1.1359185
3616000,487.6427,32.0,95603.27,1.135925
3624000,487.8224,32.0,95601.234,1.1359009
3636000,487.66913,32.0,95602.97,1.1359215
3644000,487.7167,32.0,95602.44,1.1359152
3656000,487.56873,32.0,95604.14,1.1359353
3664000,487.5529,32.0,95604.31,1.1359373
3676000,487.66122,32.0,95603.086,1.1359228
3684000,487.66122,32.0,95603.086,1.1359228
3696000,487.56345,32.0,95604.2,1.1359361
3704000,487.5608,32.0,95604.21,1.1359361
3716000,487.59515,32.0,95603.82,1.1359315
3724000,487.65857,32.0,95603.1,1.135923
3736000,487.59778,32.0,95603.805,1.1359314
3744000,487.75635,32.0,95601.99,1.1359098
3756000,487.55817,32.0,95604.25,1.1359366
3764000,487.6744,32.0,95602.91,1.1359206
3776000,487.67972,32.0,95602.86,1.1359202
3784000,487.5423,32.0,95604.445,1.135939
3796000,487.5608,32.0,95604.23,1.1359364
3804000,487.70084,32.0,95602.6,1.1359171
3816000,487.6744,32.0,95602.914,1.1359208
3824000,487.6242,32.0,95603.5,1.1359277
3836000,487.6744,32.0,95602.914,1.1359208
3844000,487.59515,32.0,95603.82,1.1359315
3856000,487.63742,32.0,95603.336,1.1359258
3864000,487.722,32.0,95602.375,1.1359143
3876000,487.51852,32.0,95604.695,1.135942
3884000,487.7035,32.0,95602.58,1.1359168
3896000,487.64008,32.0,95603.305,1.1359254
3904000,487.64008,32.0,95603.305,1.1359254
3916000,487.6744,32.0,95602.914,1.1359208
3924000,487.685,32.0,95602.805,1.1359195
3936000,487.74048,32.0,95602.18,1.1359121
3944000,487.4921,32.0,95605.02,1.1359458
3956000,487.69556,32.0,95602.69,1.135918
3964000,487.73254,32.0,95602.26,1.135913
3976000,487.6744,32.0,95602.93,1.135921
3984000,487.56345,32.0,95604.19,1.1359359
3996000,487.74313,32.0,95602.15,1.1359117
4004000,487.54495,32.0,95604.41,1.1359385
4015999,487.6665,32.0,95603.03,1.1359222
4028000,487.72992,32.0,95602.27,1.1359131
4036000,487.4604,32.0,95605.39,1.1359502
4044000,487.6242,32.0,95603.5,1.1359277
4055999,487.6559,32.0,95603.14,1.1359235
4068000,487.6348,32.0,95603.39,1.1359265
4076000,487.48154,32.0,95605.13,1.1359471
4084000,487.53436,32.0,95604.53,1.13594
4095999,487.79333,32.0,95601.55,1.1359046
4108000,487.5529,32.0,95604.305,1.1359373
4116000,487.5053,32.0,95604.86,1.1359439
4124000,487.74313,32.0,95602.13,1.1359115
4135999,487.66385,32.0,95603.04,1.1359223
4148000,487.58194,32.0,95603.98,1.1359334
4156000,487.69028,32.0,95602.75,1.1359189
4164000,487.63742,32.0,95603.35,1.135926
4175999,487.69293,32.0,95602.72,1.1359185
