timestamp,roll,pitch,yaw,thrust_body[0],thrust_body[1],thrust_body[2]
3240000,0.13533628,0.16791663,0.0008840561,0.0,0.0,-0.08
3272000,0.1359655,0.16934113,0.0008955002,0.0,0.0,-0.08
3300000,0.13670027,0.17052194,0.00090676546,0.0,0.0,-0.08
3336000,0.13706718,0.17139754,0.0009137392,0.0,0.0,-0.08
3372000,0.13795985,0.17226471,0.00092446804,0.0,0.0,-0.08
3404000,0.13860112,0.17408513,0.0009384155,0.0,0.0,-0.08
3432000,0.1383153,0.17541254,0.00094377995,0.0,0.0,-0.08
3464000,0.1382809,0.17758052,0.00095522404,0.0,0.0,-0.08
3496000,0.13826269,0.17891648,0.0009623766,0.0,0.0,-0.08
3528000,0.13861698,0.18034501,0.00097221136,0.0,0.0,-0.08
3556000,0.13902918,0.18122071,0.000980258,0.0,0.0,-0.08
3596000,0.1397825,0.18262538,0.0009929538,0.0,0.0,-0.08
3628000,0.13999084,0.18369444,0.001000464,0.0,0.0,-0.08
3656000,0.14064407,0.18483813,0.0010111928,0.0,0.0,-0.08
3688000,0.14092602,0.18618993,0.0010208488,0.0,0.0,-0.08
3720000,0.14070335,0.18729644,0.0010253191,0.0,0.0,-0.08
3756000,0.14042109,0.18873799,0.0010308623,0.0,0.0,-0.08
3788000,0.14055201,0.19004649,0.0010390878,0.0,0.0,-0.08
3816000,0.1411256,0.1910927,0.0010492802,0.0,0.0,-0.08
3852000,0.1413725,0.192314,0.0010575056,0.0,0.0,-0.08
3880000,0.14190267,0.19338018,0.0010675192,0.0,0.0,-0.08
3908000,0.14286341,0.19420092,0.0010793209,0.0,0.0,-0.08
3948000,0.14316308,0.19534951,0.0010880828,0.0,0.0,-0.08
3976000,0.14330235,0.19610739,0.0010930896,0.0,0.0,-0.08
4007999,0.14394099,0.19691424,0.0011023879,0.0,0.0,-0.08
4039999,0.14395013,0.19794255,0.0011086464,0.0,0.0,-0.08
4071999,0.14431335,0.19905561,0.0011172295,0.0,0.0,-0.08
4108000,0.14385746,0.200409,0.0011216998,0.0,0.0,-0.08
4135999,0.14359246,0.20136794,0.0011247396,0.0,0.0,-0.08
4167999,0.14340407,0.20250432,0.0011295676,0.0,0.0,-0.08
4200000,0.1444492,0.20308386,0.0011411905,0.0,0.0,-0.08
4236000,0.14452551,0.20452476,0.0011495948,0.0,0.0,-0.08
4268000,0.14495985,0.2051765,0.001157105,0.0,0.0,-0.08
4296000,0.14507769,0.20567822,0.0011605024,0.0,0.0,-0.08
4332000,0.14527994,0.2064437,0.0011669397,0.0,0.0,-0.08
4356000,0.1453983,0.20725268,0.001172483,0.0,0.0,-0.08
