timestamp,timestamp_utc,lat,lon,seq,alt,ground_distance,q[0],q[1],q[2],q[3],result
182260000,1565540038248532,47.397717371703244,8.544018111460366,0,498.06842,-1.0,0.6916857,-0.0412276,-0.032254025,-0.72029924,-1
185212000,1565540041203280,47.397753240978155,8.543985699908948,1,498.0669,-1.0,0.9943183,-0.021328386,-0.09784057,0.03610577,-1
188920000,1565540044916127,47.3977910125765,8.54397973436755,2,498.05368,-1.0,0.9742518,-0.0047444818,-0.033052277,0.22297633,-1
189628000,1565540045624476,47.39779484801699,8.543979910518665,3,498.04465,-1.0,0.97374946,-0.0025535824,-0.03883283,0.2242709,-1
192484000,1565540048484866,47.397836928071705,8.543982338882849,4,497.9902,-1.0,0.99221146,-0.000946139,-0.1157944,0.04590543,-1
195832000,1565540051836518,47.3978787857573,8.543985121317954,5,498.0011,-1.0,0.9943055,-0.0013398674,-0.048918046,0.094667576,-1
198616000,1565540054623459,47.3979206452313,8.543989444574294,6,498.02838,-1.0,0.95951295,0.014836267,-0.2784358,0.039855685,-1
199780000,1565540055788721,47.39796249647873,8.543994275666096,7,498.0046,-1.0,0.9703555,0.016572783,-0.23749872,0.04159354,-1
200920000,1565540056929181,47.39800438003091,8.543999499343576,8,498.00882,-1.0,0.967999,0.016665637,-0.2469021,0.041709293,-1
202024000,1565540058033489,47.39804635566391,8.544004915616457,9,498.01117,-1.0,0.96775913,0.014934732,-0.2480673,0.041012134,-1
203104000,1565540059115004,47.39808847610055,8.544010085682402,10,498.01343,-1.0,0.9673696,0.014395964,-0.24963564,0.040877286,-1
204172000,1565540060184909,47.398130515776785,8.544015047660269,11,498.01617,-1.0,0.96680814,0.01534283,-0.25171643,0.041054673,-1
205252000,1565540061265664,47.39817231585569,8.544019918426256,12,498.01184,-1.0,0.96591926,0.016602654,-0.25496408,0.041443467,-1
206308000,1565540062323876,47.39821425298928,8.544024849405734,13,498.01273,-1.0,0.9656326,0.017236289,-0.25596178,0.0417138,-1
207340000,1565540063356625,47.3982562555101,8.544029740960696,14,498.01062,-1.0,0.9652085,0.018462218,-0.2574104,0.0420909,-1
208360000,1565540064378313,47.39829864511366,8.544034915417681,15,498.0263,-1.0,0.96482825,0.017978484,-0.25884297,0.042232677,-1
209380000,1565540065397968,47.398340654464185,8.544040038604285,16,498.02612,-1.0,0.964112,0.018809289,-0.26145443,0.042141076,-1
210416000,1565540066435664,47.3983829546642,8.544045167770895,17,498.0136,-1.0,0.9635991,0.019403048,-0.2632186,0.04261896,-1
211420000,1565540067440874,47.398425105562424,8.544050288638319,18,498.01196,-1.0,0.96303236,0.020423017,-0.2651447,0.043010034,-1
212404000,1565540068425723,47.39846682721932,8.54405544865305,19,498.01755,-1.0,0.96305835,0.0206551,-0.26498002,0.043330368,-1
213400000,1565540069421710,47.39850861550142,8.544060787986899,20,498.01642,-1.0,0.976955,0.017473692,-0.20833857,0.04299593,-1
214744000,1565540070768673,47.3985505911708,8.544066574947488,21,498.03214,-1.0,0.98833084,0.010611731,-0.14667687,0.039693005,-1
217012000,1565540073037442,47.398592361823816,8.544072282453772,22,498.05405,-1.0,0.9968185,0.0037836481,-0.07343677,0.030750014,-1
