timestamp,x,y,z,yaw,yawspeed,vx,vy,vz,acc_x,acc_y,acc_z,jerk_x,jerk_y,jerk_z,thrust[0],thrust[1],thrust[2]
142720000,-0.0468255,-0.0041104583,-0.0181894,0.41414583,nan,0.0027359147,0.0003744193,-0.68923175,-0.120046474,-0.08004652,-3.8387985,0.0,10.0,0.0,nan,nan,nan
142932000,-0.046454463,-0.0036827887,-0.23940606,0.41414583,nan,0.00035339966,0.0007439656,-1.3265334,-0.11959122,0.119243585,-1.9601419,0.0,10.0,10.0,nan,nan,nan
143128000,-0.04609516,-0.003278432,-0.5238356,0.41414583,nan,0.00019399589,0.0009783802,-1.5186403,-0.07797254,0.11708638,-0.0045684353,10.0,0.0,10.0,nan,nan,nan
143320000,-0.045651365,-0.0029683535,-0.8111846,0.41414583,nan,0.0009237204,0.00021936372,-1.4993641,-0.07477236,0.11285625,-0.06596982,10.0,0.0,4.1124687,nan,nan,nan
143532000,-0.045440163,-0.0027706176,-1.126327,0.41414583,nan,0.00073073065,-0.0018695138,-1.4992973,-0.042893097,0.08498432,-0.07579014,0.0,10.0,-2.0000002,nan,nan,nan
143728000,-0.045240026,-0.0024575358,-1.4184264,0.41414583,nan,-0.00031464925,0.00069018366,-1.5015771,-0.009306427,-0.09294821,-0.041964177,0.0,0.0,10.0,nan,nan,nan
143920000,-0.044947445,-0.0022679698,-1.7023154,0.41414583,nan,0.0002884108,0.0029472334,-1.5009241,-0.054325294,0.015566476,0.021929834,0.0,0.0,0.0,nan,nan,nan
144132000,-0.044701826,-0.002076694,-2.0155873,0.41414583,nan,0.00062566483,0.0025199493,-1.4980259,-0.012589745,0.002222944,0.041844953,0.0,-2.0000002,-2.0000002,nan,nan,nan
144328000,-0.0444604,-0.0019038166,-2.3041232,0.41414583,nan,0.0007829536,0.0015103464,-1.4992161,0.030467112,-0.0014951788,0.08342851,0.0,0.0,0.0,nan,nan,nan
144520000,-0.044206902,-0.0014532002,-2.5882556,0.41414583,nan,0.0020353198,0.0017904732,-1.5005289,0.03176578,-0.08591427,0.049966708,0.0,0.0,-3.0955143,nan,nan,nan
144732000,-0.04384918,-0.0012276531,-2.8970509,0.41414583,nan,0.0011568884,0.00078653486,-1.4986522,-0.0054957084,0.03182023,-0.016514149,0.0,2.0000002,-2.0000002,nan,nan,nan
144928000,-0.043539017,-0.00089689164,-3.1851711,0.41414583,nan,0.0013625675,0.0024022157,-1.499087,0.023176678,0.04104454,-0.03937565,-1.4485425,0.0,2.4609785,nan,nan,nan
145120000,-0.04329108,-0.00053686666,-3.4732895,0.41414583,nan,0.0017407225,0.0025923213,-1.5001382,-0.029458664,-0.0071643703,-0.04440042,0.0,0.0,2.7750263,nan,nan,nan
145332000,-0.043037012,-0.00024891485,-3.7862914,0.41414583,nan,-0.00031366834,0.00021376382,-1.5001285,-0.02205721,0.0018023662,-0.0446003,2.0000002,2.0000002,-2.0000002,nan,nan,nan
145528000,-0.042890385,-1.4205152e-06,-4.076803,0.41414583,nan,-0.00018117338,0.0012179443,-1.4996185,0.016075835,0.0072683673,0.062649146,0.0,0.0,0.0,nan,nan,nan
145720000,-0.042699415,0.0002038943,-4.359689,0.41414583,nan,0.0013178141,0.0012867515,-1.4985018,0.06439294,0.0034565735,0.02656677,0.0,0.0,0.0,nan,nan,nan
145932000,-0.042414885,0.00044385574,-4.6708145,0.41414583,nan,0.0014954228,0.0022563408,-1.4981611,-0.039475445,-0.00046458468,0.023380306,-2.0000002,-2.0000002,-2.0000002,nan,nan,nan
146128000,-0.042286403,0.0006648156,-4.9596567,0.41414583,nan,-0.0001756344,0.0015827029,-1.4992355,0.005366046,-0.036263593,0.09509197,0.0,0.0,0.0,nan,nan,nan
146320000,-0.04226715,0.00077601755,-5.241572,0.41414583,nan,-0.000826594,0.00038536,-1.4572427,0.04776228,0.01511858,0.41854784,0.0,0.0,-10.0,nan,nan,nan
146532000,-0.04221329,0.000920296,-5.537457,0.41414583,nan,0.00033294427,0.0009930125,-1.3652555,0.0832956,0.0192414,0.45854238,2.0000002,0.0,2.0000002,nan,nan,nan
146728000,-0.04215961,0.0009908126,-5.791804,0.41414583,nan,0.0012361258,0.0009780988,-1.2808827,-0.074545324,0.021369873,0.42052597,4.6018376,0.0,-10.0,nan,nan,nan
146920000,-0.042134758,0.0011193206,-6.027033,0.41414583,nan,0.003124136,0.0013303908,-1.2069654,-0.007565774,-0.015500857,0.3425585,0.0,0.0,-10.0,nan,nan,nan
147132000,-0.04206422,0.0012307389,-6.272008,0.41414583,nan,0.0022748183,0.0014502112,-1.1310384,-0.0061088204,-0.012559548,0.3825621,-2.0000002,-2.0000002,2.0000002,nan,nan,nan
147328000,-0.042096026,0.0013191014,-6.4858584,0.41414583,nan,0.001829461,0.0006316249,-1.0676951,0.021177169,0.02427128,0.30462712,0.0,0.0,-10.0,nan,nan,nan
147520000,-0.042037774,0.0014121046,-6.683677,0.41414583,nan,0.0017938232,0.00091466494,-1.006136,0.010590732,-0.011666384,0.3045876,0.0,0.0,-10.0,nan,nan,nan
147732000,-0.04192152,0.0015020547,-6.886207,0.41414583,nan,-1.45472e-05,0.00022767618,-0.9459676,-0.017645217,-0.01073092,0.30261195,0.0,0.0,2.0000002,nan,nan,nan
147928000,-0.041892987,0.0014932663,-7.06098,0.41414583,nan,8.6029e-05,0.0001742207,-0.8921128,0.01445137,0.048650466,0.26449925,-0.89289093,-3.005913,-10.0,nan,nan,nan
148120000,-0.04187391,0.001616018,-7.2272353,0.41414583,nan,-0.00011218121,0.0007566212,-0.84276044,0.05404888,0.02292037,0.2262914,-3.3780553,0.0,-10.0,nan,nan,nan
148332000,-0.04176375,0.0016970489,-7.3971987,0.41414583,nan,0.0016511875,0.00037768696,-0.7916196,0.03078318,-0.020170627,0.2662716,-2.0000002,0.0,2.0000002,nan,nan,nan
148528000,-0.041667018,0.0017601869,-7.5447845,0.41414583,nan,0.00023547257,-0.0005024021,-0.7447656,0.006402865,-0.010874681,0.18774523,-0.39663568,0.0,-10.0,nan,nan,nan
148720000,-0.041568305,0.0018201532,-7.6810822,0.41414583,nan,-5.28661e-05,-0.00070829235,-0.7059163,0.01265236,0.029686853,0.1876867,0.0,0.0,-10.0,nan,nan,nan
148932000,-0.041478112,0.0019504278,-7.8246455,0.41414583,nan,0.0005802654,0.00051249703,-0.66257864,0.011701126,-0.035885345,0.22637972,0.0,-2.0000002,2.0000002,nan,nan,nan
149128000,-0.04138866,0.001954125,-7.94737,0.41414583,nan,-0.0005453614,2.7939925e-05,-0.6230765,-0.011163186,-0.026886567,0.18642351,0.0,1.6804105,-10.0,nan,nan,nan
149320000,-0.041394684,0.0018973976,-8.061542,0.41414583,nan,-2.0236526e-05,-6.448146e-05,-0.5892228,0.02057167,0.039852243,0.15841934,-1.2768984,-2.4736576,-9.833202,nan,nan,nan
149532000,-0.041355193,0.0019458631,-8.180766,0.41414583,nan,0.0006114576,0.0008042186,-0.55182314,-0.029180795,-0.007754121,0.19955537,-2.0000002,-2.0000002,2.0000002,nan,nan,nan
149728000,-0.041308254,0.0020120603,-8.284943,0.41414583,nan,0.0009854595,0.0011720005,-0.521141,0.008708613,-0.039369658,0.1526979,0.0,2.4463031,-9.488153,nan,nan,nan
149920000,-0.041210335,0.0020131562,-8.380225,0.41414583,nan,0.00021335266,-8.430258e-05,-0.49180847,-0.049695186,-0.028075479,0.14558363,3.088806,1.7450322,-9.048755,nan,nan,nan
150132000,-0.041222084,0.0019334191,-8.480045,0.41414583,nan,-1.0040065e-05,0.0006099775,-0.46206743,0.039849646,0.040081434,0.13696799,2.0000002,0.0,2.0000002,nan,nan,nan
150328000,-0.04116235,0.0019518952,-8.566806,0.41414583,nan,0.0013087192,0.0007917472,-0.43555522,0.0036192164,0.032954354,0.12911883,0.0,0.0,-8.024999,nan,nan,nan
150520000,-0.041127186,0.0020029098,-8.646733,0.41414583,nan,0.0005843415,0.000310333,-0.411621,0.0020748824,-0.034822922,0.09953965,0.0,2.1638758,-6.185335,nan,nan,nan
150732000,-0.041089375,0.0020425036,-8.729927,0.41414583,nan,-0.0013222359,-0.000542619,-0.38570392,-0.02932987,0.012759147,0.11853479,2.0000002,2.0000002,0.0,nan,nan,nan
150928000,-0.040986136,0.0020550324,-8.802345,0.41414583,nan,-0.0007280742,-0.0004556683,-0.36398447,-0.060755208,0.014281894,0.107336015,0.0,-0.8926184,-10.0,nan,nan,nan
151120000,-0.041050073,0.0020461015,-8.869654,0.41414583,nan,-0.0012535044,0.00014947279,-0.3434773,-0.023490075,0.010264223,0.10412653,0.0,0.0,-10.0,nan,nan,nan
151332000,-0.04104632,0.0020555812,-8.939371,0.41414583,nan,-0.00010884646,0.00018979481,-0.32264248,0.013762524,-0.036973007,0.10412653,0.0,-2.0000002,0.0,nan,nan,nan
151528000,-0.041031335,0.0020219935,-9.000065,0.41414583,nan,4.5650682e-05,-0.00015149849,-0.30436352,-0.022174796,0.007014301,0.10412067,1.3752902,-0.43502992,0.0,nan,nan,nan
151720000,-0.04100996,0.0020300918,-9.05596,0.41414583,nan,-0.0013704994,-0.001781521,-0.28753296,-0.0070789196,-0.024294268,0.0839528,0.0,0.0,0.0,nan,nan,nan
151932000,-0.04104986,0.0021189637,-9.1138935,0.41414583,nan,-0.0006652149,-0.0022356613,-0.2699839,-0.009972766,-0.055320133,0.043952797,0.0,2.0000002,-2.0000002,nan,nan,nan
152128000,-0.041112788,0.0019040835,-9.1649275,0.41414583,nan,-0.0005436602,-1.4901743e-06,-0.25460425,0.020547286,0.07802939,0.06858164,0.0,0.0,0.0,nan,nan,nan
