timestamp,accel_inconsistency_m_s_s,gyro_inconsistency_rad_s,mag_inconsistency_ga
1920000,0.0027697163,0.0,0.0
2120000,0.0028087948,0.0,0.0
2320000,0.00440232,0.0,0.0
2524000,0.0042483956,0.0,0.0
2720000,0.0022485105,0.0,0.0
2924000,0.009310263,0.0,0.0
3120000,0.009329427,0.0,0.0
3320000,0.0046372614,0.0,0.0
3520000,0.0054746196,0.0,0.0
3720000,0.0030728928,0.0,0.0
3924000,0.0036409316,0.0,0.0
4119999,0.025316099,0.0,0.0
4324000,0.0076993983,0.0,0.0
4520000,0.001965706,0.0,0.0
4720000,0.0010355709,0.0,0.0
4920000,0.0012197604,0.0,0.0
5120000,0.0059381924,0.0,0.0
5320000,0.004476724,0.0,0.0
5520000,0.0022352969,0.0,0.0
5720000,0.0026453256,0.0,0.0
5924000,0.005841746,0.0,0.0
6120000,0.007570717,0.0,0.0
6320000,0.002907274,0.0,0.0
6520000,0.0015489865,0.0,0.0
6724000,0.0034010017,0.0,0.0
6920000,0.0026180232,0.0,0.0
7120000,0.00164284,0.0,0.0
7320000,0.01049038,0.0,0.0
7520000,0.0012112453,0.0,0.0
7720000,0.001259641,0.0,0.0
7920000,0.00016493617,0.0,0.0
8120000,0.007729199,0.0,0.0
8323999,0.021588702,0.0,0.0
8524000,0.0031810296,0.0,0.0
8724000,0.0011716177,0.0,0.0
8924000,0.003590618,0.0,0.0
9124000,0.0020637454,0.0,0.0
9324000,0.004400014,0.0,0.0
9524000,0.004962496,0.0,0.0
9728000,0.0018217656,0.0,0.0
9924000,0.0028742764,0.0,0.0
10124000,0.0027446137,0.0,0.0
10328000,0.0075918953,0.0,0.0
10528000,0.0030029349,0.0,0.0
10724000,0.0018968061,0.0,0.0
10928000,0.0013197155,0.0,0.0
11124000,0.0033474336,0.0,0.0
11324000,0.0015564224,0.0,0.0
11528000,0.0031952437,0.0,0.0
11724000,0.0039938358,0.0,0.0
11928000,0.001316194,0.0,0.0
12128000,0.00427841,0.0,0.0
12324000,0.002171865,0.0,0.0
12524000,0.005061716,0.0,0.0
12728000,0.004925886,0.0,0.0
12928000,0.0024663443,0.0,0.0
13128000,0.00052502606,0.0,0.0
13328000,0.0018277104,0.0,0.0
13528000,0.0039962386,0.0,0.0
13724000,0.0032006332,0.0,0.0
13924000,0.0075956658,0.0,0.0
14124000,0.006058843,0.0,0.0
14324000,0.0031751106,0.0,0.0
14528000,0.00518331,0.0,0.0
14724000,0.0048585813,0.0,0.0
14924000,0.0012614657,0.0,0.0
15124000,0.0035934076,0.0,0.0
15324000,0.0069027413,0.0,0.0
15524000,0.0016928213,0.0,0.0
15724000,0.0029704298,0.0,0.0
15928000,0.003677552,0.0,0.0
16128000,0.012832809,0.0,0.0
16324000,0.006649163,0.0,0.0
16523999,0.014418296,0.0,0.0
16728000,0.0074126897,0.0,0.0
16928000,0.005063274,0.0,0.0
17128000,0.0019892973,0.0,0.0
17328000,0.0023379377,0.0,0.0
17524000,0.0009040085,0.0,0.0
17724000,0.009097379,0.0,0.0
17928000,0.010961841,0.0,0.0
18128000,0.006417483,0.0,0.0
18324000,0.0068575167,0.0,0.0
18524000,0.0027643826,0.0,0.0
18728000,0.004641549,0.0,0.0
18924000,0.005125656,0.0,0.0
19128000,0.0033852651,0.0,0.0
19324000,0.0043366724,0.0,0.0
19528000,0.0017895236,0.0,0.0
19728000,0.007044951,0.0,0.0
19924000,0.0030580028,0.0,0.0
20124000,0.001528052,0.0,0.0
20328000,0.0010939462,0.0,0.0
20524000,0.0034015768,0.0,0.0
20724000,0.001966732,0.0,0.0
20924000,0.007542022,0.0,0.0
21128000,0.004879582,0.0,0.0
21324000,0.00468839,0.0,0.0
21528000,0.0035658646,0.0,0.0
21728000,0.003961012,0.0,0.0
21928000,0.00092182215,0.0,0.0
22128000,0.0016262163,0.0,0.0
22324000,0.0035765537,0.0,0.0
22528000,0.0074757286,0.0,0.0
22724000,0.0036927701,0.0,0.0
22924000,0.0007694474,0.0,0.0
23128000,0.0057480168,0.0,0.0
23328000,0.005045888,0.0,0.0
23524000,0.0028285768,0.0,0.0
23724000,0.0020758626,0.0,0.0
23928000,0.005188926,0.0,0.0
24124000,0.0031292865,0.0,0.0
24328000,0.0045289784,0.0,0.0
24524000,0.001832403,0.0,0.0
24724000,0.0044431034,0.0,0.0
24924000,0.001002294,0.0,0.0
25124000,0.0016514424,0.0,0.0
25328000,0.0025536893,0.0,0.0
25524000,0.003578547,0.0,0.0
25728000,0.0023343593,0.0,0.0
25928000,0.0010106736,0.0,0.0
26124000,0.002776898,0.0,0.0
26328000,0.0024529824,0.0,0.0
26524000,0.0022867084,0.0,0.0
26728000,0.003458056,0.0,0.0
26928000,0.0034513476,0.0,0.0
27124000,0.0077341236,0.0,0.0
27324000,0.0026342885,0.0,0.0
27524000,0.0045205685,0.0,0.0
27728000,0.0029132315,0.0,0.0
27928000,0.005394055,0.0,0.0
28124000,0.00044253856,0.0,0.0
28324000,0.0001821245,0.0,0.0
28524000,0.0043877843,0.0,0.0
28724000,0.0027240426,0.0,0.0
28924000,0.009346031,0.0,0.0
29128000,0.0018463512,0.0,0.0
29328000,0.0016131961,0.0,0.0
29528000,0.0048522796,0.0,0.0
29724000,0.005232133,0.0,0.0
29928000,0.0042433753,0.0,0.0
30124000,0.008863337,0.0,0.0
30324000,0.0016929426,0.0,0.0
30524000,0.0015091278,0.0,0.0
30728000,0.0050848667,0.0,0.0
30924000,0.0032237426,0.0,0.0
31124000,0.0034523872,0.0,0.0
31324000,0.0018032027,0.0,0.0
31524000,0.0032995308,0.0,0.0
31728000,0.0022664063,0.0,0.0
31924000,0.0016466026,0.0,0.0
32127999,0.013079141,0.0,0.0
32328000,0.010078723,0.0,0.0
32532000,0.003526056,0.0,0.0
32731999,0.004093535,0.0,0.0
32940000,0.0066738673,0.0,0.0
33136000,0.008535166,0.0,0.0
33336000,0.010480025,0.0,0.0
33539999,0.017103806,0.0,0.0
33744000,0.0027023843,0.0,0.0
33940000,0.006497074,0.0,0.0
34144000,0.0049926937,0.0,0.0
34340000,0.0033116462,0.0,0.0
34540000,0.0028094582,0.0,0.0
34740000,0.0020764067,0.0,0.0
34940000,0.0028825912,0.0,0.0
35140000,0.003889797,0.0,0.0
35340000,0.0028926744,0.0,0.0
35544000,0.0026894358,0.0,0.0
35740000,0.0021815996,0.0,0.0
35940000,0.0023442728,0.0,0.0
36140000,0.004187411,0.0,0.0
36340000,0.006069126,0.0,0.0
36540000,0.007151612,0.0,0.0
36740000,0.0027137818,0.0,0.0
36940000,0.0028072577,0.0,0.0
37144000,0.0041507743,0.0,0.0
37340000,0.0014189639,0.0,0.0
37540000,0.0043730335,0.0,0.0
37740000,0.0027842545,0.0,0.0
37940000,0.0024034232,0.0,0.0
38144000,0.0022476423,0.0,0.0
38340000,0.012003388,0.0,0.0
38540000,0.0014988009,0.0,0.0
38740000,0.0049257274,0.0,0.0
38940000,0.005326101,0.0,0.0
39140000,0.00095042225,0.0,0.0
39340000,0.003867958,0.0,0.0
39544000,0.004315434,0.0,0.0
39740000,0.0050377366,0.0,0.0
39940000,0.007576341,0.0,0.0
40140000,0.005986235,0.0,0.0
40340000,0.0016229111,0.0,0.0
40540000,0.0013587828,0.0,0.0
40740000,0.002336586,0.0,0.0
40944000,0.0014358092,0.0,0.0
41140000,0.0008347612,0.0,0.0
41340000,0.0014023953,0.0,0.0
41540000,0.0016956703,0.0,0.0
41740000,0.0011606042,0.0,0.0
41940000,0.00086406537,0.0,0.0
42140000,0.0024434887,0.0,0.0
42340000,0.0024939752,0.0,0.0
42540000,0.004269999,0.0,0.0
42740000,0.0093521355,0.0,0.0
42940000,0.0017544439,0.0,0.0
43140000,0.0025023185,0.0,0.0
43340000,0.005012775,0.0,0.0
43540000,0.002709502,0.0,0.0
43740000,0.0028289773,0.0,0.0
43940000,0.0095511135,0.0,0.0
44140000,0.0026773836,0.0,0.0
44340000,0.000834155,0.0,0.0
44540000,0.0043618497,0.0,0.0
44740000,0.0015685346,0.0,0.0
