timestamp,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,arspd_check_level,load_factor_ratio,nav_state,arming_state,hil_state,failsafe,system_type,system_id,component_id,is_rotary_wing,is_vtol,vtol_fw_permanent_stab,in_transition_mode,in_transition_to_fw,rc_signal_lost,rc_input_mode,data_link_lost,data_link_lost_counter,high_latency_data_link_lost,engine_failure,mission_failure,failure_detector_status,aspd_check_failing,aspd_fault_declared,aspd_use_inhibit,aspd_fail_rtl
1004000,262191,2097167,262191,0.0,0.0,0,1,0,0,2,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
1556000,262191,2097167,262191,0.0,0.0,0,1,0,0,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1940000,262191,2097167,262191,0.0,0.0,0,1,0,0,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2936000,262191,2097167,262191,0.0,0.0,0,1,0,0,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
3464000,262191,2097167,262191,0.0,0.0,0,1,0,0,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
4472000,262191,2097167,262191,0.0,0.0,0,1,0,0,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
5012000,262191,2097167,262191,0.0,0.0,0,1,0,0,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
6020000,262191,2097167,262191,0.0,0.0,0,1,0,0,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
7028000,262191,2097167,262191,0.0,0.0,0,1,0,0,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
8035999,262191,2097167,262191,0.0,0.0,0,1,0,0,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
9044000,262191,2097167,262191,0.0,0.0,0,1,0,0,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
10052000,262191,2097167,262191,0.0,0.0,0,1,0,0,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
11060000,262191,2097167,262191,0.0,0.0,0,1,0,0,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
12068000,262191,2097167,262191,0.0,0.0,0,1,0,0,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
12356000,262191,2097167,2359343,0.0,0.0,0,1,0,0,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
12368000,262191,2097167,2359343,0.0,0.0,4,1,0,0,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
13376000,262191,2097167,2359343,0.0,0.0,4,1,0,0,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
14384000,262191,2097167,2359343,0.0,0.0,4,1,0,0,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
15392000,262191,2097167,2359343,0.0,0.0,4,1,0,0,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
