timestamp,rollspeed,pitchspeed,yawspeed,rollspeed_integ,pitchspeed_integ,yawspeed_integ,additional_integ1
1904000,-0.012728876,-0.00015377809,-0.005073129,0.0,0.0,0.0,0.0
1932000,0.0031970819,-0.009468565,0.00097275124,0.0,0.0,0.0,0.0
1964000,-0.005147573,-0.021469511,0.008401261,0.0,0.0,0.0,0.0
1996000,0.0020346604,0.0017622777,-0.0019110438,0.0,0.0,0.0,0.0
2028000,0.008046326,-0.0044997456,0.0046739145,0.0,0.0,0.0,0.0
2064000,0.0020063943,0.000860736,0.0020910455,0.0,0.0,0.0,0.0
2096000,0.0010404869,-0.0076198806,0.012564285,0.0,0.0,0.0,0.0
2124000,0.011934321,-0.016528351,-0.0051274165,0.0,0.0,0.0,0.0
2156000,-0.0071482593,-0.0067587732,0.008682901,0.0,0.0,0.0,0.0
2192000,-0.0023281497,0.008126821,-0.0032282923,0.0,0.0,0.0,0.0
2224000,0.0011203035,-0.0012026525,0.0038732183,0.0,0.0,0.0,0.0
2252000,0.0014575055,-0.013702519,0.0046286033,0.0,0.0,0.0,0.0
2288000,0.0064764703,0.0028085033,0.002512087,0.0,0.0,0.0,0.0
2320000,-0.00731241,-0.012417648,0.008295836,0.0,0.0,0.0,0.0
2348000,-0.009247631,-0.008924724,-0.0065022665,0.0,0.0,0.0,0.0
2380000,-0.004809514,-0.0058323783,0.007443521,0.0,0.0,0.0,0.0
2412000,0.0067075468,-0.0027047042,0.0046794866,0.0,0.0,0.0,0.0
2444000,0.0059088664,-0.0049826484,-0.0057471558,0.0,0.0,0.0,0.0
2476000,-0.00690071,-0.011279337,0.008972154,0.0,0.0,0.0,0.0
2512000,0.006712578,-0.006132433,0.0037295297,0.0,0.0,0.0,0.0
2540000,0.0005978469,-0.0050147213,0.0040133903,0.0,0.0,0.0,0.0
2572000,-0.004408022,-0.008073197,-0.0027356239,0.0,0.0,0.0,0.0
2604000,-0.0032504392,-0.0066616465,-0.0040858546,0.0,0.0,0.0,0.0
2636000,0.004926592,-0.0029840542,-0.0012215035,0.0,0.0,0.0,0.0
