timestamp,accel_inconsistency_m_s_s,gyro_inconsistency_rad_s,mag_inconsistency_ga
1904000,0.00387426,0.0,0.0
2100000,0.0050286436,0.0,0.0
2300000,0.0013293664,0.0,0.0
2500000,0.0013753623,0.0,0.0
2700000,0.0024290285,0.0,0.0
2900000,0.007952246,0.0,0.0
3100000,0.0032936854,0.0,0.0
3300000,0.003979302,0.0,0.0
3504000,0.0014739042,0.0,0.0
3704000,0.0030799925,0.0,0.0
3900000,0.0024523712,0.0,0.0
4103999,0.0037859469,0.0,0.0
4304000,0.0027334208,0.0,0.0
4508000,0.0012251465,0.0,0.0
4704000,0.0031658288,0.0,0.0
4904000,0.0020687473,0.0,0.0
5108000,0.0036546628,0.0,0.0
5304000,0.0025841251,0.0,0.0
5504000,0.001095974,0.0,0.0
5704000,0.0013193464,0.0,0.0
5908000,0.0050545475,0.0,0.0
6104000,0.0014593494,0.0,0.0
6304000,0.005320085,0.0,0.0
6504000,0.004202444,0.0,0.0
6708000,0.002900536,0.0,0.0
6904000,0.0013486166,0.0,0.0
7104000,0.0025254856,0.0,0.0
7308000,0.0032475041,0.0,0.0
7504000,0.0027800424,0.0,0.0
7708000,0.002564381,0.0,0.0
7904000,0.0026397456,0.0,0.0
8104000,0.003734517,0.0,0.0
8312000,0.0030983523,0.0,0.0
8508000,0.0031150798,0.0,0.0
8712000,0.0058660423,0.0,0.0
8908000,0.0019443935,0.0,0.0
9108000,0.0036337606,0.0,0.0
9308000,0.0027075736,0.0,0.0
9508000,0.0012114437,0.0,0.0
9712000,0.0015693009,0.0,0.0
9912000,0.0025019199,0.0,0.0
10112000,0.0024215698,0.0,0.0
10308000,0.002781776,0.0,0.0
10508000,0.0025251368,0.0,0.0
10708000,0.003064788,0.0,0.0
10908000,0.0032032283,0.0,0.0
11108000,0.0014158018,0.0,0.0
11308000,0.0012453478,0.0,0.0
11508000,0.0013024647,0.0,0.0
11708000,0.0006375092,0.0,0.0
11912000,0.0047670137,0.0,0.0
12108000,0.0028203356,0.0,0.0
12308000,0.0010587623,0.0,0.0
12508000,0.0046962434,0.0,0.0
12708000,0.0027182486,0.0,0.0
12908000,0.0037940114,0.0,0.0
13108000,0.0010747644,0.0,0.0
13308000,0.0025150497,0.0,0.0
13508000,0.0016193491,0.0,0.0
13708000,0.001432173,0.0,0.0
13912000,0.0011501963,0.0,0.0
14112000,0.002271857,0.0,0.0
14308000,0.0069158566,0.0,0.0
14508000,0.0020949522,0.0,0.0
14712000,0.002878691,0.0,0.0
14908000,0.0030977798,0.0,0.0
15108000,0.003125268,0.0,0.0
15312000,0.0036307503,0.0,0.0
15508000,0.002173728,0.0,0.0
15712000,0.0030319146,0.0,0.0
15908000,0.0021645282,0.0,0.0
16107999,0.00696595,0.0,0.0
