timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,gps_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
1288000,32767,32767,32767,32767,32767,32767,32767
1900000,32767,32767,32767,32767,0,0,32767
1904000,32767,32767,32767,32767,32767,32767,32767
1908000,32767,32767,32767,32767,32767,32767,32767
1912000,32767,32767,32767,32767,0,0,32767
1920000,32767,32767,32767,32767,0,0,32767
1924000,32767,32767,32767,32767,32767,32767,32767
1932000,32767,32767,32767,32767,0,0,32767
1936000,32767,32767,32767,32767,32767,32767,32767
1940000,32767,32767,32767,32767,0,0,32767
1944000,32767,32767,32767,32767,32767,32767,32767
1948000,32767,32767,32767,32767,32767,32767,32767
1956000,32767,32767,32767,32767,32767,32767,32767
1960000,32767,32767,32767,32767,0,0,32767
1964000,32767,32767,32767,32767,32767,32767,32767
1968000,32767,32767,32767,32767,32767,32767,32767
1972000,32767,32767,32767,32767,0,0,32767
1976000,32767,32767,32767,32767,32767,32767,32767
1980000,32767,32767,32767,32767,0,0,32767
1984000,32767,32767,32767,32767,32767,32767,32767
1988000,32767,32767,32767,32767,32767,32767,32767
1992000,32767,32767,32767,32767,0,0,32767
1996000,32767,32767,32767,32767,32767,32767,32767
2000000,32767,32767,32767,32767,0,0,32767
2004000,32767,32767,32767,32767,32767,32767,32767
2008000,32767,32767,32767,32767,32767,32767,32767
2012000,32767,32767,32767,32767,0,0,32767
2016000,32767,32767,32767,32767,32767,32767,32767
2020000,32767,32767,32767,32767,0,0,32767
2024000,32767,32767,32767,32767,32767,32767,32767
2028000,32767,32767,32767,32767,32767,32767,32767
2032000,32767,32767,32767,32767,0,0,32767
2036000,32767,32767,32767,32767,32767,32767,32767
2040000,32767,32767,32767,32767,0,0,32767
2044000,32767,32767,32767,32767,32767,32767,32767
2048000,32767,32767,32767,32767,32767,32767,32767
2052000,32767,32767,32767,32767,0,0,32767
2056000,32767,32767,32767,32767,32767,32767,32767
2060000,32767,32767,32767,32767,0,0,32767
2068000,32767,32767,32767,32767,32767,32767,32767
2072000,32767,32767,32767,32767,0,0,32767
2076000,32767,32767,32767,32767,32767,32767,32767
2080000,32767,32767,32767,32767,0,0,32767
2084000,32767,32767,32767,32767,32767,32767,32767
2088000,32767,32767,32767,32767,32767,32767,32767
2092000,32767,32767,0,32767,0,0,32767
2100000,32767,32767,32767,32767,0,0,32767
2108000,32767,32767,32767,32767,32767,32767,32767
2112000,32767,32767,32767,32767,0,0,32767
2116000,32767,32767,32767,32767,32767,32767,32767
2120000,32767,32767,32767,32767,0,0,32767
2124000,32767,32767,32767,32767,32767,32767,32767
2128000,32767,32767,32767,32767,32767,32767,32767
2132000,32767,32767,32767,32767,0,0,32767
2136000,32767,32767,32767,32767,32767,32767,32767
2140000,32767,32767,32767,32767,0,0,32767
2144000,32767,32767,32767,32767,32767,32767,32767
2148000,32767,32767,32767,32767,32767,32767,32767
2152000,32767,32767,32767,32767,0,0,32767
2156000,32767,32767,32767,32767,32767,32767,32767
2160000,32767,32767,32767,32767,0,0,32767
2164000,32767,32767,32767,32767,32767,32767,32767
2168000,32767,32767,32767,32767,32767,32767,32767
2172000,32767,32767,32767,32767,0,0,32767
2180000,32767,32767,32767,32767,0,0,32767
2184000,32767,32767,32767,32767,32767,32767,32767
2192000,32767,32767,32767,32767,0,0,32767
2196000,32767,32767,32767,32767,32767,32767,32767
2200000,32767,32767,32767,32767,0,0,32767
2204000,32767,32767,32767,32767,32767,32767,32767
2208000,32767,32767,32767,32767,32767,32767,32767
2212000,32767,32767,32767,32767,0,0,32767
2216000,32767,32767,32767,32767,32767,32767,32767
2220000,32767,32767,32767,32767,0,0,32767
2224000,32767,32767,32767,32767,32767,32767,32767
2228000,32767,32767,32767,32767,32767,32767,32767
2232000,32767,32767,32767,32767,32767,0,32767
2236000,32767,32767,32767,32767,-40,32767,32767
2240000,32767,32767,32767,32767,32767,0,32767
2244000,32767,32767,32767,32767,-40,32767,32767
2248000,32767,32767,32767,32767,32767,32767,32767
2252000,32767,32767,32767,32767,0,0,32767
2260000,32767,32767,32767,32767,0,0,32767
2264000,32767,32767,32767,32767,32767,32767,32767
2272000,32767,32767,32767,32767,0,0,32767
2276000,32767,32767,32767,32767,32767,32767,32767
2280000,32767,32767,32767,32767,0,0,32767
2284000,32767,32767,32767,32767,32767,32767,32767
2292000,32767,32767,0,32767,0,0,32767
2296000,32767,32767,32767,32767,32767,32767,32767
2300000,32767,32767,32767,32767,0,0,32767
2304000,32767,32767,32767,32767,32767,32767,32767
2308000,32767,32767,32767,32767,32767,32767,32767
2316000,32767,32767,32767,32767,32767,32767,32767
2320000,32767,32767,32767,32767,0,0,32767
2324000,32767,32767,32767,32767,32767,32767,32767
2328000,32767,32767,32767,32767,32767,32767,32767
2332000,32767,32767,32767,32767,0,0,32767
2336000,32767,32767,32767,32767,32767,32767,32767
2340000,32767,32767,32767,32767,0,0,32767
2344000,32767,32767,32767,32767,32767,32767,32767
2348000,32767,32767,32767,32767,32767,32767,32767
2352000,32767,32767,32767,32767,0,0,32767
2356000,32767,32767,32767,32767,32767,32767,32767
2360000,32767,32767,32767,32767,0,0,32767
2364000,32767,32767,32767,32767,32767,32767,32767
2368000,32767,32767,32767,32767,32767,32767,32767
2372000,32767,32767,32767,32767,0,0,32767
2376000,32767,32767,32767,32767,32767,32767,32767
2380000,32767,32767,32767,32767,0,0,32767
2388000,32767,32767,32767,32767,32767,32767,32767
2392000,32767,32767,32767,32767,0,0,32767
2396000,32767,32767,32767,32767,32767,32767,32767
2404000,32767,32767,32767,32767,32767,32767,32767
2408000,32767,32767,32767,32767,32767,32767,32767
2412000,32767,32767,32767,32767,0,0,32767
2416000,32767,32767,32767,32767,32767,32767,32767
2420000,32767,32767,32767,32767,0,0,32767
2424000,32767,32767,32767,32767,32767,32767,32767
2428000,32767,32767,32767,32767,32767,32767,32767
2432000,32767,32767,32767,32767,0,0,32767
2436000,32767,32767,32767,32767,32767,32767,32767
2444000,32767,32767,32767,32767,32767,32767,32767
2448000,32767,32767,32767,32767,32767,32767,32767
2452000,32767,32767,32767,32767,0,0,32767
2456000,32767,32767,32767,32767,32767,32767,32767
2460000,32767,32767,32767,32767,0,0,32767
2464000,32767,32767,32767,32767,32767,32767,32767
2468000,32767,32767,32767,32767,32767,32767,32767
2472000,32767,32767,32767,32767,0,0,32767
2476000,32767,32767,32767,32767,32767,32767,32767
2480000,32767,32767,32767,32767,0,0,32767
2484000,32767,32767,32767,32767,32767,32767,32767
2488000,32767,32767,32767,32767,32767,32767,32767
2492000,32767,32767,0,32767,0,0,32767
2496000,32767,32767,32767,32767,32767,32767,32767
2500000,32767,32767,32767,32767,0,0,32767
2504000,32767,32767,32767,32767,32767,32767,32767
2508000,32767,32767,32767,32767,32767,32767,32767
2512000,32767,32767,32767,32767,0,0,32767
2516000,32767,32767,32767,32767,32767,32767,32767
2520000,32767,32767,32767,32767,0,0,32767
2524000,32767,32767,32767,32767,32767,32767,32767
2528000,32767,32767,32767,32767,32767,32767,32767
2532000,32767,32767,32767,32767,0,0,32767
2536000,32767,32767,32767,32767,32767,32767,32767
2540000,32767,32767,32767,32767,0,0,32767
2544000,32767,32767,32767,32767,32767,32767,32767
2548000,32767,32767,32767,32767,32767,32767,32767
2552000,32767,32767,32767,32767,32767,0,32767
2556000,32767,32767,32767,32767,-40,32767,32767
2560000,32767,32767,32767,32767,0,0,32767
2564000,32767,32767,32767,32767,32767,32767,32767
2568000,32767,32767,32767,32767,32767,32767,32767
2572000,32767,32767,32767,32767,0,0,32767
2576000,32767,32767,32767,32767,32767,32767,32767
2580000,32767,32767,32767,32767,0,0,32767
2584000,32767,32767,32767,32767,32767,32767,32767
2588000,32767,32767,32767,32767,32767,32767,32767
2592000,32767,32767,32767,32767,32767,0,32767
2596000,32767,32767,32767,32767,-40,32767,32767
2600000,32767,32767,32767,32767,0,0,32767
2604000,32767,32767,32767,32767,32767,32767,32767
2608000,32767,32767,32767,32767,32767,32767,32767
2612000,32767,32767,32767,32767,0,0,32767
2616000,32767,32767,32767,32767,32767,32767,32767
2620000,32767,32767,32767,32767,0,0,32767
2624000,32767,32767,32767,32767,32767,32767,32767
2628000,32767,32767,32767,32767,32767,32767,32767
2632000,32767,32767,32767,32767,0,0,32767
2636000,32767,32767,32767,32767,32767,32767,32767
2640000,32767,32767,32767,32767,0,0,32767
2644000,32767,32767,32767,32767,32767,32767,32767
2648000,32767,32767,32767,32767,32767,32767,32767
2652000,32767,32767,32767,32767,0,0,32767
2656000,32767,32767,32767,32767,32767,32767,32767
2660000,32767,32767,32767,32767,0,0,32767
2664000,32767,32767,32767,32767,32767,32767,32767
2668000,32767,32767,32767,32767,32767,32767,32767
2672000,32767,32767,32767,32767,0,0,32767
2676000,32767,32767,32767,32767,32767,32767,32767
2680000,32767,32767,32767,32767,0,0,32767
2684000,32767,32767,32767,32767,32767,32767,32767
2688000,32767,32767,32767,32767,32767,32767,32767
2692000,32767,32767,0,32767,0,0,32767
2696000,32767,32767,32767,32767,32767,32767,32767
2700000,32767,32767,32767,32767,0,0,32767
2704000,32767,32767,32767,32767,32767,32767,32767
2708000,32767,32767,32767,32767,32767,32767,32767
2712000,32767,32767,32767,32767,0,0,32767
2716000,32767,32767,32767,32767,32767,32767,32767
2720000,32767,32767,32767,32767,0,0,32767
2724000,32767,32767,32767,32767,32767,32767,32767
2728000,32767,32767,32767,32767,32767,32767,32767
2732000,32767,32767,32767,32767,0,0,32767
2736000,32767,32767,32767,32767,32767,32767,32767
2740000,32767,32767,32767,32767,0,0,32767
2748000,32767,32767,32767,32767,32767,32767,32767
2752000,32767,32767,32767,32767,0,0,32767
2756000,32767,32767,32767,32767,32767,32767,32767
2760000,32767,32767,32767,32767,0,0,32767
2764000,32767,32767,32767,32767,32767,32767,32767
2768000,32767,32767,32767,32767,32767,32767,32767
2772000,32767,32767,32767,32767,0,0,32767
2776000,32767,32767,32767,32767,32767,32767,32767
2780000,32767,32767,32767,32767,0,0,32767
2784000,32767,32767,32767,32767,32767,32767,32767
2788000,32767,32767,32767,32767,32767,32767,32767
2792000,32767,32767,32767,32767,0,0,32767
2796000,32767,32767,32767,32767,32767,32767,32767
2800000,32767,32767,32767,32767,0,0,32767
