timestamp,param5,param6,param1,param2,param3,param4,param7,command,target_system,target_component,source_system,source_component,confirmation,from_external
91484000,0.0,0.0,29.0,4.0,4.0,0.0,0.0,176,1,0,255,0,1,1
91532000,-0.0,-0.0,0.0,2.0,nan,nan,nan,530,1,1,1,1,0,0
91532000,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,2003,1,1,1,1,0,0
92328000,0.0,0.0,1.0,0.0,0.0,0.0,0.0,400,1,1,255,0,0,1
116672000,0.0,0.0,25.0,0.0,1.0,0.0,0.0,206,1,1,1,1,0,0
124232000,0.0,0.0,25.0,0.0,1.0,0.0,0.0,206,1,1,1,1,0,0
160128000,0.0,0.0,25.0,0.0,1.0,0.0,0.0,206,1,1,1,1,0,0
178048000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206,1,1,1,1,0,0
178104000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,1,1,1,1,0,0
178160000,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,2003,1,1,1,1,0,0
239088000,0.0,0.0,0.0,2.0,50.0,nan,488.0555,0,1,1,1,1,0,0
