timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
1900000,1900000,-0.0014315668,-0.007721337,0.00031029608,0.0,0.0,0.0,0.0,0.0
2000000,2000000,0.028086696,0.030781416,0.0014898792,0.08,0.0,0.0,0.0,-1.0
2100000,2100000,0.026314557,0.028715855,-0.001151114,0.08,0.0,0.0,0.0,-1.0
2200000,2200000,0.029952731,0.031687587,0.0010868873,0.08,0.0,0.0,0.0,-1.0
2300000,2300000,0.03195432,0.023223478,0.00079643464,0.08,0.0,0.0,0.0,-1.0
2404000,2404000,0.02638009,0.029853065,0.0023511793,0.08,0.0,0.0,0.0,-1.0
2500000,2500000,0.01853416,0.034774695,0.0010123011,0.08,0.0,0.0,0.0,-1.0
2600000,2600000,0.022919804,0.02134553,-0.00067093875,0.08,0.0,0.0,0.0,-1.0
2700000,2700000,0.018807927,0.022398453,-0.0002905221,0.08,0.0,0.0,0.0,-1.0
2800000,2800000,0.031235266,0.037140146,-2.459978e-05,0.08,0.0,0.0,0.0,-1.0
2900000,2900000,0.02570344,0.052076884,-0.00072303566,0.08,0.0,0.0,0.0,-1.0
3000000,3000000,0.024363836,0.038207933,-0.0006430223,0.08,0.0,0.0,0.0,-1.0
3100000,3100000,0.027342139,0.04011332,0.0015950178,0.08,0.0,0.0,0.0,-1.0
3200000,3200000,0.028460726,0.025008898,-0.0009404612,0.08,0.0,0.0,0.0,-1.0
3300000,3300000,0.024560656,0.027184669,-0.0018621365,0.08,0.0,0.0,0.0,-1.0
3404000,3404000,0.04100926,0.03145746,0.0006677638,0.08,0.0,0.0,0.0,-1.0
3504000,3504000,0.022538073,0.03418231,-0.0009281154,0.08,0.0,0.0,0.0,-1.0
3604000,3604000,0.03845813,0.051444285,0.002341596,0.08,0.0,0.0,0.0,-1.0
3704000,3704000,0.02842027,0.04162037,-0.0007947322,0.08,0.0,0.0,0.0,-1.0
3800000,3800000,0.024365585,0.041699912,0.00074220164,0.08,0.0,0.0,0.0,-1.0
3900000,3900000,0.03644442,0.04148808,-6.306747e-05,0.08,0.0,0.0,0.0,-1.0
3999999,3999999,0.030345468,0.038192548,-0.0012992247,0.08,0.0,0.0,0.0,-1.0
4103999,4103999,0.01840835,0.0473836,-0.00018742219,0.08,0.0,0.0,0.0,-1.0
4204000,4204000,0.022327287,0.045719963,0.0009857027,0.08,0.0,0.0,0.0,-1.0
4304000,4304000,0.032975454,0.036118973,0.0014878443,0.08,0.0,0.0,0.0,-1.0
4404000,4404000,0.034356378,0.04120163,0.000829859,0.08,0.0,0.0,0.0,-1.0
4508000,4508000,0.039725516,0.044087376,0.000107741405,0.08,0.0,0.0,0.0,-1.0
4604000,4604000,0.03070157,0.039387263,0.0008356063,0.08,0.0,0.0,0.0,-1.0
4704000,4704000,0.036006622,0.046889767,0.0011217733,0.08,0.0,0.0,0.0,-1.0
4804000,4804000,0.040659845,0.05830314,0.0028589908,0.08,0.0,0.0,0.0,-1.0
4904000,4904000,0.02604153,0.039364148,0.00068678486,0.08,0.0,0.0,0.0,-1.0
5008000,5008000,0.025136033,0.03645547,0.002044956,0.08,0.0,0.0,0.0,-1.0
5104000,5104000,0.024775296,0.03660038,0.0017231088,0.08,0.0,0.0,0.0,-1.0
5204000,5204000,0.029072044,0.036018178,-0.0012608138,0.08,0.0,0.0,0.0,-1.0
5304000,5304000,0.025312603,0.050193463,-4.2262047e-05,0.08,0.0,0.0,0.0,-1.0
5404000,5404000,0.027827332,0.04973249,-0.0004504274,0.08,0.0,0.0,0.0,-1.0
5504000,5504000,0.020402808,0.04042924,0.00021351397,0.08,0.0,0.0,0.0,-1.0
5604000,5604000,0.03530788,0.02741316,0.0014868709,0.08,0.0,0.0,0.0,-1.0
5704000,5704000,0.03267934,0.048592348,-0.00030697603,0.08,0.0,0.0,0.0,-1.0
5804000,5804000,0.015295152,0.045805234,-0.0012652152,0.08,0.0,0.0,0.0,-1.0
5908000,5908000,0.018501215,0.047902614,0.0005288913,0.08,0.0,0.0,0.0,-1.0
6004000,6004000,0.02534991,0.04391516,-0.0011910246,0.08,0.0,0.0,0.0,-1.0
6104000,6104000,0.024964888,0.042691216,-0.0013555017,0.08,0.0,0.0,0.0,-1.0
6204000,6204000,0.02581911,0.043380417,0.0017400653,0.08,0.0,0.0,0.0,-1.0
6304000,6304000,0.01754538,0.04805312,0.0008456611,0.08,0.0,0.0,0.0,-1.0
6404000,6404000,0.028629735,0.051133953,0.0010897423,0.08,0.0,0.0,0.0,-1.0
6504000,6504000,0.02803828,0.02900649,-0.0012044454,0.08,0.0,0.0,0.0,-1.0
6604000,6604000,0.031215817,0.03824821,0.0029021879,0.08,0.0,0.0,0.0,-1.0
6708000,6708000,0.027162982,0.047766335,0.0014229635,0.08,0.0,0.0,0.0,-1.0
6808000,6808000,0.023760289,0.039660867,0.0005674685,0.08,0.0,0.0,0.0,-1.0
6904000,6904000,0.017851053,0.03317604,-0.0009971339,0.08,0.0,0.0,0.0,-1.0
7004000,7004000,0.033147246,0.0350382,5.5882265e-06,0.08,0.0,0.0,0.0,-1.0
7104000,7104000,0.022178018,0.03612663,-0.0012804623,0.08,0.0,0.0,0.0,-1.0
7208000,7208000,0.025915612,0.03410755,-0.00027108772,0.08,0.0,0.0,0.0,-1.0
7308000,7308000,0.0144035425,0.038101636,-1.7367163e-05,0.08,0.0,0.0,0.0,-1.0
7404000,7404000,0.022002064,0.051271267,6.509415e-05,0.08,0.0,0.0,0.0,-1.0
7504000,7504000,0.025015457,0.04113611,0.00018940648,0.08,0.0,0.0,0.0,-1.0
7604000,7604000,0.02558123,0.04443941,0.0017861594,0.08,0.0,0.0,0.0,-1.0
7708000,7708000,0.030352198,0.03668539,0.0016929891,0.08,0.0,0.0,0.0,-1.0
7804000,7804000,0.028644122,0.027633429,0.0019833753,0.08,0.0,0.0,0.0,-1.0
7904000,7904000,0.025651338,0.028054912,-0.00068636535,0.08,0.0,0.0,0.0,-1.0
8003999,8003999,0.019278655,0.037666153,-0.0012296856,0.08,0.0,0.0,0.0,-1.0
8104000,8104000,0.026582014,0.028456746,-0.00074485206,0.08,0.0,0.0,0.0,-1.0
8204000,8204000,0.015272623,0.027748885,-2.5658474e-05,0.08,0.0,0.0,0.0,-1.0
8312000,8312000,0.02651324,0.029912217,-0.0007082492,0.08,0.0,0.0,0.0,-1.0
8412000,8412000,0.034692936,0.02671411,-1.5222397e-05,0.08,0.0,0.0,0.0,-1.0
8508000,8508000,0.024101932,0.023025919,0.00065767724,0.08,0.0,0.0,0.0,-1.0
8608000,8608000,0.032490756,0.029873071,0.0006076977,0.08,0.0,0.0,0.0,-1.0
8712000,8712000,0.015358938,0.028400512,0.0008553736,0.08,0.0,0.0,0.0,-1.0
8808000,8808000,0.020337911,0.029959202,3.917231e-05,0.08,0.0,0.0,0.0,-1.0
8908000,8908000,0.029639795,0.044083096,0.0005345894,0.08,0.0,0.0,0.0,-1.0
9012000,9012000,0.027943771,0.01965047,0.0018253777,0.08,0.0,0.0,0.0,-1.0
9108000,9108000,0.025366254,0.030771663,-0.00153187,0.08,0.0,0.0,0.0,-1.0
9208000,9208000,0.025222814,0.02574029,-0.0011858497,0.08,0.0,0.0,0.0,-1.0
9308000,9308000,0.012450279,0.031073978,0.00061687845,0.08,0.0,0.0,0.0,-1.0
9408000,9408000,0.024354272,0.022452183,0.0012916907,0.08,0.0,0.0,0.0,-1.0
9508000,9508000,0.032593627,0.028696237,-6.866262e-05,0.08,0.0,0.0,0.0,-1.0
9608000,9608000,0.025196677,0.024798695,-3.2703392e-05,0.08,0.0,0.0,0.0,-1.0
9712000,9712000,0.020237468,0.024475805,0.0011301149,0.08,0.0,0.0,0.0,-1.0
9808000,9808000,0.026575848,0.026620878,-0.0005689031,0.08,0.0,0.0,0.0,-1.0
9912000,9912000,0.03260961,0.021280076,-0.00030744378,0.08,0.0,0.0,0.0,-1.0
10012000,10012000,0.01606127,0.023899646,-0.0011272584,0.08,0.0,0.0,0.0,-1.0
10108000,10108000,0.024094142,0.018973727,-0.00067987124,0.08,0.0,0.0,0.0,-1.0
10212000,10212000,0.02311342,0.022130715,0.00037678034,0.08,0.0,0.0,0.0,-1.0
10308000,10308000,0.018428825,0.041894674,-0.00043167436,0.08,0.0,0.0,0.0,-1.0
10412000,10412000,0.022355894,0.018665891,-0.00055155455,0.08,0.0,0.0,0.0,-1.0
10508000,10508000,0.011541448,0.030407798,0.0026243692,0.08,0.0,0.0,0.0,-1.0
10608000,10608000,0.02463129,0.020727849,-0.0012379441,0.08,0.0,0.0,0.0,-1.0
10708000,10708000,0.024039501,0.01888978,-0.0002046374,0.08,0.0,0.0,0.0,-1.0
10808000,10808000,0.023197133,0.017298682,-0.0006837724,0.08,0.0,0.0,0.0,-1.0
10908000,10908000,0.027662951,0.03461339,0.0016338062,0.08,0.0,0.0,0.0,-1.0
11008000,11008000,0.023124209,0.024871912,0.0013437025,0.08,0.0,0.0,0.0,-1.0
11108000,11108000,0.029290354,0.03715871,-0.0014689005,0.08,0.0,0.0,0.0,-1.0
11208000,11208000,0.01860785,0.026421376,-0.0007273538,0.08,0.0,0.0,0.0,-1.0
11308000,11308000,0.027127706,0.03338102,0.0011888674,0.08,0.0,0.0,0.0,-1.0
11412000,11412000,0.028436609,0.021633573,-0.00079857756,0.08,0.0,0.0,0.0,-1.0
11508000,11508000,0.024504,0.034048814,0.00083351135,0.08,0.0,0.0,0.0,-1.0
11608000,11608000,0.02242129,0.023924071,-0.00074642774,0.08,0.0,0.0,0.0,-1.0
11712000,11712000,0.029560791,0.0241641,0.0011014395,0.08,0.0,0.0,0.0,-1.0
11808000,11808000,0.02912001,0.023629999,-0.0002599983,0.08,0.0,0.0,0.0,-1.0
11908000,11908000,0.024703814,0.022151096,0.0014883087,0.08,0.0,0.0,0.0,-1.0
12008000,12008000,0.025319938,0.026349977,-0.00017447256,0.08,0.0,0.0,0.0,-1.0
12108000,12108000,0.016966868,0.018457597,-0.0008501491,0.08,0.0,0.0,0.0,-1.0
12208000,12208000,0.025168283,0.025582856,0.0008702073,0.08,0.0,0.0,0.0,-1.0
12308000,12308000,0.025584767,0.016611187,0.000489453,0.08,0.0,0.0,0.0,-1.0
12408000,12408000,0.025403503,0.015497259,0.0019845637,0.08,0.0,0.0,0.0,-1.0
12508000,12508000,0.029446049,0.031095212,-0.00047058798,0.08,0.0,0.0,0.0,-1.0
12612000,12612000,0.019380355,0.014147292,0.0031359575,0.08,0.0,0.0,0.0,-1.0
12708000,12708000,0.01987759,0.01894703,-0.00069117284,0.08,0.0,0.0,0.0,-1.0
12812000,12812000,0.025634246,0.018440254,0.0005798338,0.08,0.0,0.0,0.0,-1.0
12908000,12908000,0.023831485,0.0246379,-0.0009115835,0.08,0.0,0.0,0.0,-1.0
13008000,13008000,0.018095475,0.027889363,-0.0007937848,0.08,0.0,0.0,0.0,-1.0
13108000,13108000,0.023304513,0.021620912,0.0015004189,0.08,0.0,0.0,0.0,-1.0
13208000,13208000,0.024266966,0.010166082,0.00021252419,0.08,0.0,0.0,0.0,-1.0
13308000,13308000,0.02775164,0.019723166,-0.0003729472,0.08,0.0,0.0,0.0,-1.0
13408000,13408000,0.026389122,0.02517241,-0.0015759356,0.08,0.0,0.0,0.0,-1.0
13508000,13508000,0.017124977,0.02425105,-7.986673e-06,0.08,0.0,0.0,0.0,-1.0
13608000,13608000,0.03497542,0.035439484,-0.0013196428,0.08,0.0,0.0,0.0,-1.0
13708000,13708000,0.036178537,0.016603412,0.00078425615,0.08,0.0,0.0,0.0,-1.0
13808000,13808000,0.033530198,0.016707564,-0.00013660947,0.08,0.0,0.0,0.0,-1.0
13908000,13908000,0.02682032,0.025751075,0.00033811672,0.08,0.0,0.0,0.0,-1.0
14008000,14008000,0.019211143,0.034168992,-0.0016019794,0.08,0.0,0.0,0.0,-1.0
14112000,14112000,0.031727098,0.018525895,0.0005503244,0.08,0.0,0.0,0.0,-1.0
14208000,14208000,0.017172493,0.022072144,0.00031762157,0.08,0.0,0.0,0.0,-1.0
14308000,14308000,0.026546031,0.020297244,0.00064815505,0.08,0.0,0.0,0.0,-1.0
14412000,14412000,0.024462946,0.0288438,0.0010838659,0.08,0.0,0.0,0.0,-1.0
14508000,14508000,0.015339061,0.024410263,0.0007346369,0.08,0.0,0.0,0.0,-1.0
14608000,14608000,0.024492301,0.03525698,0.00012715705,0.08,0.0,0.0,0.0,-1.0
14712000,14712000,0.022153072,0.018556045,-0.0002328056,0.08,0.0,0.0,0.0,-1.0
14808000,14808000,0.017141253,0.019482391,-4.6871744e-05,0.08,0.0,0.0,0.0,-1.0
14908000,14908000,0.025249643,0.020846223,0.0008630088,0.08,0.0,0.0,0.0,-1.0
15012000,15012000,0.021845032,0.028406512,-0.00028115368,0.08,0.0,0.0,0.0,-1.0
15112000,15112000,0.013273092,0.013873232,0.00013839289,0.08,0.0,0.0,0.0,-1.0
15208000,15208000,0.023036892,0.022454092,0.0004764107,0.08,0.0,0.0,0.0,-1.0
15312000,15312000,0.019414032,0.027888192,0.0012839289,0.08,0.0,0.0,0.0,-1.0
15412000,15412000,0.034617007,0.027086135,0.0008019856,0.08,0.0,0.0,0.0,-1.0
15508000,15508000,0.020540372,0.021489909,0.00024448286,0.08,0.0,0.0,0.0,-1.0
15612000,15612000,0.03228973,0.028399356,0.00020357841,0.08,0.0,0.0,0.0,-1.0
15712000,15712000,0.020657262,0.025739674,-0.0012862998,0.08,0.0,0.0,0.0,-1.0
15808000,15808000,0.02713966,0.020528482,-0.0006365961,0.08,0.0,0.0,0.0,-1.0
15908000,15908000,0.019849041,0.030810788,-0.0019351583,0.08,0.0,0.0,0.0,-1.0
16016000,16016000,0.023731142,0.035219535,0.0007793479,0.08,0.0,0.0,0.0,-1.0
16112000,16112000,0.02653414,0.021211868,-0.00013620665,0.08,0.0,0.0,0.0,-1.0
16215999,16215999,0.021869281,0.020984454,-0.0023410644,0.08,0.0,0.0,0.0,-1.0
16320000,16320000,0.019641452,0.0157533,-0.0012956826,0.08,0.0,0.0,0.0,-1.0
16416000,16416000,0.026703913,0.018835453,-0.0005552816,0.08,0.0,0.0,0.0,-1.0
16520000,16520000,0.028647793,0.03281644,0.00070636015,0.08,0.0,0.0,0.0,-1.0
16624000,16624000,0.031834587,0.027575357,0.00083421665,0.08,0.0,0.0,0.0,-1.0
16720000,16720000,0.030978562,0.019359829,-0.0017390903,0.08,0.0,0.0,0.0,-1.0
16820000,16820000,0.019118926,0.026851516,0.00029352235,0.08,0.0,0.0,0.0,-1.0
16920000,16920000,0.031108702,0.017008267,-0.0010176465,0.08,0.0,0.0,0.0,-1.0
17020000,17020000,0.016506685,0.0146262385,5.056141e-05,0.08,0.0,0.0,0.0,-1.0
17124000,17124000,0.0210435,0.03381689,-0.00041011334,0.08,0.0,0.0,0.0,-1.0
17224000,17224000,0.025397042,0.014753072,-0.00045495442,0.08,0.0,0.0,0.0,-1.0
17320000,17320000,0.022029174,0.020588553,-0.00021285811,0.08,0.0,0.0,0.0,-1.0
17424000,17424000,0.02874644,0.02206391,0.00023823658,0.08,0.0,0.0,0.0,-1.0
17520000,17520000,0.037949104,0.02731467,-0.0017441344,0.08,0.0,0.0,0.0,-1.0
17620000,17620000,0.042443372,0.015755275,-0.00045308584,0.08,0.0,0.0,0.0,-1.0
17720000,17720000,0.02711632,0.0075501576,0.0022136695,0.08,0.0,0.0,0.0,-1.0
