timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
1984000,-0.008176719,-0.0062664766,-0.001319869,0.97885317,-0.007945471,-0.013105069,0.20398918,0.9789583,0.004473106,-0.004242113,0.20396751,1
2016000,0.0015425183,-0.0061373836,0.0015715057,0.97885066,-0.0079253595,-0.013175793,0.20399767,0.9789583,0.004473106,-0.004242113,0.20396751,1
2048000,-0.0007664476,-0.009749214,0.0039729825,0.97885334,-0.007917217,-0.013248745,0.2039801,0.9789583,0.004473106,-0.004242113,0.20396751,1
2080000,0.0041598524,-0.003932476,-2.0044672e-05,0.97885686,-0.007931669,-0.01337781,0.20395455,0.9789583,0.004473106,-0.004242113,0.20396751,1
2112000,-0.0042022904,-0.01286876,-0.00040873743,0.97885287,-0.007948137,-0.013540766,0.20396185,0.9789583,0.004473106,-0.004242113,0.20396751,1
2144000,0.0012583078,-0.009569303,0.0066775,0.9788568,-0.00795751,-0.0137115875,0.20393181,0.9789583,0.004473106,-0.004242113,0.20396751,1
2180000,0.00293646,-0.0053718383,0.00080946455,0.9788562,-0.007972653,-0.013884445,0.20392199,0.9789583,0.004473106,-0.004242113,0.20396751,1
2208000,-0.0035285254,-0.006742564,-0.004295248,0.9788728,-0.007989787,-0.013948792,0.20383763,0.9789583,0.004473106,-0.004242113,0.20396751,1
2240000,-0.004530044,-0.0042030644,-0.0029796646,0.9788793,-0.008021468,-0.014064428,0.20379709,0.9789583,0.004473106,-0.004242113,0.20396751,1
2272000,-0.0034353982,-0.012333346,0.0008974576,0.9788761,-0.0080064805,-0.014204675,0.20380336,0.9789583,0.004473106,-0.004242113,0.20396751,1
2304000,-0.0018728629,-0.0036426324,-0.0024252713,0.9788799,-0.007983343,-0.014339264,0.20377663,0.9789583,0.004473106,-0.004242113,0.20396751,1
2336000,-0.0045582475,-0.008997343,0.00083325704,0.9788799,-0.007960463,-0.014464225,0.20376815,0.9789583,0.004473106,-0.004242113,0.20396751,1
2368000,-0.0033594419,-0.0045196675,-0.007321925,0.9788778,-0.008026942,-0.01456575,0.20376882,0.9789583,0.004473106,-0.004242113,0.20396751,1
2404000,0.006642652,-0.0013167922,-0.0081674885,0.9788636,-0.008072,-0.014672384,0.20382752,0.9789583,0.004473106,-0.004242113,0.20396751,1
2432000,0.0033377672,-0.009781384,-0.0011017462,0.97885406,-0.0080408985,-0.014750213,0.20386918,0.9789583,0.004473106,-0.004242113,0.20396751,1
2464000,-0.011378133,-0.0043707183,-0.0052647498,0.97883856,-0.008034642,-0.0148317125,0.2039375,0.9789583,0.004473106,-0.004242113,0.20396751,1
2496000,-0.002265059,-0.0078529995,-0.0039819744,0.97881895,-0.008047134,-0.014974247,0.20402083,0.9789583,0.004473106,-0.004242113,0.20396751,1
2528000,0.0031191076,-0.0061259083,-0.000107337,0.97880566,-0.008011015,-0.015107243,0.20407605,0.9789583,0.004473106,-0.004242113,0.20396751,1
